t_dimless,t_gyr,M_inner,M_outer,mass_ratio,delta_pct,c_200,r_s_kpc,rho_s_msun_pc3,sigma_m_cm2_g
1.0000278295182734,0.09917221661303391,7584.228112629147,34168.34366602695,0.2219665134125312,-39.05060678766496,6.0,34.37923789317772,0.0017987314778349093,0.1
5.001533044163718,0.4959993150310499,6929.526065609712,31206.019630187846,0.2220573513613469,-39.02566375560192,6.0,34.37923789317772,0.0017987314778349093,0.1
10.0004912338313,0.9917432831404437,6546.896557206333,29478.262086662326,0.22209235191543153,-39.01605301522151,6.0,34.37923789317772,0.0017987314778349093,0.1
20.000981721256675,1.9834864922602173,6130.392684478976,27599.33376053379,0.22212103877830744,-39.008175940168286,6.0,34.37923789317772,0.0017987314778349093,0.1
40.00219741499909,3.9669961874447455,5696.780125191297,25644.584818304196,0.22214358959421082,-39.00198375142494,6.0,34.37923789317772,0.0017987314778349093,0.1
60.000211699267,5.950188400590774,5440.727768375232,24490.75901855027,0.22215431397018806,-38.99903896395072,6.0,34.37923789317772,0.0017987314778349093,0.1
1.0006935080645558,0.06569444789092961,12102.202773521165,54580.34988132706,0.22173186503631317,-39.1150384712053,8.5,24.26769733636074,0.0041045640207806955,0.1
5.00109283515353,0.32831634262535886,10959.927484483404,49387.790378634345,0.22191572857296282,-39.06455170714174,8.5,24.26769733636074,0.0041045640207806955,0.1
10.000127891319343,0.6564975942829137,10321.689999411661,46497.84275400263,0.22198212622505265,-39.046319693026724,8.5,24.26769733636074,0.0041045640207806955,0.1
20.002707565030985,1.3131561454315537,9638.747561108949,43410.832062215144,0.2220355405142886,-39.03165275760594,8.5,24.26769733636074,0.0041045640207806955,0.1
40.002126359434,2.6260963866237943,8936.420097484632,40240.16394299855,0.2220771294605894,-39.020232922233454,8.5,24.26769733636074,0.0041045640207806955,0.1
60.002491373210745,3.9390987460958478,8524.884243825105,38383.637849499944,0.2220968287907126,-39.01482371793845,8.5,24.26769733636074,0.0041045640207806955,0.1
1.0002907309372955,0.04306865985297257,19743.317104737078,89221.82527333521,0.22128349251152962,-39.23815629153999,12.0,17.18961894658886,0.009542276045259401,0.1
5.000361081407672,0.21529625727451548,17740.709228322,80038.89371681595,0.22165110491269482,-39.1372142510318,12.0,17.18961894658886,0.009542276045259401,0.1
10.001963660148494,0.43064596863462434,16662.16888037205,75130.34970070707,0.22177680453702506,-39.10269861300983,12.0,17.18961894658886,0.009542276045259401,0.1
20.000939205836627,0.8611632805884311,15524.611960664752,69969.64756133562,0.22187637785449507,-39.07535695148336,12.0,17.18961894658886,0.009542276045259401,0.1
40.002894302812116,1.7223703015300955,14365.580030069788,64723.41050562422,0.2219533846848425,-39.05421178183266,12.0,17.18961894658886,0.009542276045259401,0.1
60.000616883571894,2.583395086652134,13691.388564156467,61675.779927528754,0.22198971103801748,-39.04423699261967,12.0,17.18961894658886,0.009542276045259401,0.1
1.000249533224683,0.030028280115168064,30222.730838321055,137003.95028221418,0.22059751398456254,-39.426517924709536,16.0,12.892214209941644,0.01962808821933629,0.1
5.001362386025851,0.15014484455781751,26998.679176222908,122025.26359540349,0.22125483183336395,-39.24602617657983,16.0,12.892214209941644,0.01962808821933629,0.1
10.002433877899554,0.30028095624369217,25307.941987836453,114272.4005966782,0.22147029252636646,-39.18686320511302,16.0,12.892214209941644,0.01962808821933629,0.1
20.002921627630258,0.6005034881843948,23540.838966710064,106212.43593339896,0.22163919657648626,-39.1404841400566,16.0,12.892214209941644,0.01962808821933629,0.1
40.00310406963899,1.2009247438554032,21753.742714920314,98091.89506052721,0.22176901263348264,-39.10483817805312,16.0,12.892214209941644,0.01962808821933629,0.1
60.002996994433694,1.8013373079912374,20719.54824016161,93402.79620435488,0.22183006378984152,-39.08807424876587,16.0,12.892214209941644,0.01962808821933629,0.1
1.000240912685654,0.02259396354243539,42454.28573211974,193222.49628548053,0.2197170958261236,-39.668270393156185,20.0,10.313771367953315,0.034669420706726344,0.1
5.000303775561722,0.11294947024592344,37768.71627586188,171087.44560976108,0.22075679569154227,-39.38278104187533,20.0,10.313771367953315,0.034669420706726344,0.1
10.002330003978287,0.22593784815550302,35354.213522950435,159911.03748756507,0.2210867622299032,-39.292176112400696,20.0,10.313771367953315,0.034669420706726344,0.1
20.00052850024551,0.45178237165949947,32847.91834298569,148402.73768503914,0.22134307530565978,-39.22179555724589,20.0,10.313771367953315,0.034669420706726344,0.1
40.00095116985994,0.9035623527614941,30325.582807191815,136885.9082437199,0.22153911382315794,-39.167965686676396,20.0,10.313771367953315,0.034669420706726344,0.1
60.00015751407482,1.35531485887083,28871.924477763794,130270.24133988023,0.22163100475446113,-39.142733518010324,20.0,10.313771367953315,0.034669420706726344,0.1
