fluid_output_dir,diagnostic_path,n_rows,best_snapshot_idx,best_snapshot_time_gyr,best_mass_chi2,best_r2D_rs
data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100\b1938_snapshot_diagnostics_refined.csv,165,10,0.10000329703485225,1.6088215608016203e-19,1.9965323721113821
data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20\b1938_snapshot_diagnostics_refined.csv,165,10,0.10002527697121077,7.80536411709405e-20,1.9955310764934646
data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500,data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500\b1938_snapshot_diagnostics_refined.csv,165,3,0.030003440762602224,9.057538360624515e-19,1.998577041791629
data\P6_final_n192_early\runs\M2_eta0p1_sigma0p1_vstar100\M2_eta0p1_sigma0p1_vstar100,data\P6_final_n192_early\runs\M2_eta0p1_sigma0p1_vstar100\M2_eta0p1_sigma0p1_vstar100\b1938_snapshot_diagnostics_refined.csv,165,10,0.10000329703485225,1.6088215608016203e-19,1.9965323721113821
data\P6_final_n192_early\runs\M2_eta0p1_sigma0p1_vstar20\M2_eta0p1_sigma0p1_vstar20,data\P6_final_n192_early\runs\M2_eta0p1_sigma0p1_vstar20\M2_eta0p1_sigma0p1_vstar20\b1938_snapshot_diagnostics_refined.csv,165,10,0.10002527697121077,7.80536411709405e-20,1.9955310764934646
data\P6_final_n192_early\runs\M2_eta0p1_sigma0p1_vstar500\M2_eta0p1_sigma0p1_vstar500,data\P6_final_n192_early\runs\M2_eta0p1_sigma0p1_vstar500\M2_eta0p1_sigma0p1_vstar500\b1938_snapshot_diagnostics_refined.csv,165,3,0.030003440762602224,9.057538360624515e-19,1.998577041791629
