scan_point_id,requested_source_time_gyr,elastic_chi2,elastic_mass_ratio,elastic_vmax_kms,elastic_max_cooling_code,elastic_steps,diss_chi2,diss_mass_ratio,diss_vmax_kms,diss_max_cooling_code,diss_steps,delta_chi2,delta_mass_ratio,delta_vmax_kms,delta_max_cooling_code,delta_steps,identical_mass_observables
M1_eta0p1_sigma0p1_vstar5,0.1,0.0202571572518123,0.367281406468209,5.36638753437421,0.0,4738,0.0202571572518123,0.367281406468209,5.36638753437421,3.332845567966583e-30,4738,0.0,0.0,0.0,3.332845567966583e-30,0,True
M1_eta0p1_sigma10_vstar5,0.1,0.1029021109041214,0.3572542768714077,5.291920469686598,0.0,4749,0.1029021109041214,0.3572542768714077,5.291920469686598,2.9570023142562676e-28,4749,0.0,0.0,0.0,2.9570023142562676e-28,0,True
M1_eta0p1_sigma1_vstar5,0.1,0.0181546622927848,0.3671005598507224,5.364830097226634,0.0,4748,0.0181546622927848,0.3671005598507224,5.364830097226634,3.3315469916989006e-29,4748,0.0,0.0,0.0,3.3315469916989006e-29,0,True
M2_eta0p1_sigma0p1_vstar5,0.1,0.0202571572518123,0.367281406468209,5.36638753437421,0.0,4738,0.0202571572518123,0.367281406468209,5.36638753437421,2.416511052084045e-30,4738,0.0,0.0,0.0,2.416511052084045e-30,0,True
M2_eta0p1_sigma10_vstar5,0.1,0.1029021109041214,0.3572542768714077,5.291920469686598,0.0,4749,0.1029021109041214,0.3572542768714077,5.291920469686598,2.142763097418083e-28,4749,0.0,0.0,0.0,2.142763097418083e-28,0,True
M2_eta0p1_sigma1_vstar5,0.1,0.0181546622927848,0.3671005598507224,5.364830097226634,0.0,4748,0.0181546622927848,0.3671005598507224,5.364830097226634,2.4155590053913346e-29,4748,0.0,0.0,0.0,2.4155590053913346e-29,0,True
