model_label,pick_label,model_key,r_s_kpc,rho0_msun_pc3,sigma_m_cm2_g,t_evo_gyr,M_inner_resim,M_outer_resim,mass_ratio_resim,mass_ratio_obs,mass_ratio_obs_err,delta_ratio,delta_ratio_pct,n_steps,elapsed_s,t_final_gyr,t_final_dimless
M1,P1_lower,M1_dark_photon_massive,0.0292137264072997,19188.7313942104,0.0022765936439198,0.0003147807344057,50978742.7926015,85588784.18195969,0.5956241028523308,0.36418166238217653,0.022,0.23144244047015428,63.551371300863536,4312,2.3550031185150146,0.0003147959332714514,10.367908202784962
M1,P2_p25,M1_dark_photon_massive,0.0810260993847076,1903.31452169084,0.0082752904687412,0.001857483491878,17806278.32324142,48498466.55471931,0.36715136762419387,0.36418166238217653,0.022,0.0029697052420173398,0.8154461217492318,5646,2.9466171264648438,0.0018577924112272522,19.270428126091648
M1,P3_median,M1_dark_photon_massive,0.1084444201300317,927.94979993516,0.012681979503963,0.0026602227430644,11551970.280873485,34836392.68386044,0.33160638604884785,0.36418166238217653,0.022,-0.032575276333328684,-8.944787642586958,5212,2.6282811164855957,0.0026605941184284906,19.269913545265304
M1,P4_p75,M1_dark_photon_massive,0.1561115583340154,410.9208724459955,0.0198941541987302,0.00800368584834,6282632.19813501,25957648.29751231,0.24203395184829263,0.36418166238217653,0.022,-0.1221477105338839,-33.540324280715886,9190,5.215009927749634,0.008004897844465219,38.581027793995844
M1,P5_upper,M1_dark_photon_massive,0.7755996253107423,9.950669610781937,0.1653593829269657,0.0144764973287619,565461.6268823937,3451779.720241501,0.16381741383046067,0.36418166238217653,0.022,-0.20036424855171586,-55.017665425847625,4846,2.761953592300415,0.014482067140095123,10.861645098081326
M2,P1_lower,M2_scalar_phi_massive,0.0486525877962881,6626.653334276846,0.003958389661701,0.0022002287371759,32972396.08742775,69183219.69260499,0.47659528183179045,0.36418166238217653,0.022,0.11241361944961392,30.867457387693985,11767,6.024606943130493,0.0022003685523077727,42.587432030021574
M2,P2_p25,M2_scalar_phi_massive,0.0810260993847076,1921.6913994402428,0.0081961549731413,0.0018108728943715,18429862.07939642,48977688.09780127,0.3762909764665634,0.36418166238217653,0.022,0.012109314084386869,3.3250751850539944,5949,3.0664525032043457,0.0018111895263902102,18.877506114479605
M2,P3_median,M2_scalar_phi_massive,0.0810260993847076,1373.367479479166,0.0114685113458039,0.0170239377528886,13075943.15994057,30557079.07735921,0.42791862163386507,0.36418166238217653,0.022,0.06373695925168854,17.50141916393424,25903,15.942246198654175,0.01702428165517323,150.003389905663
M2,P4_p75,M2_scalar_phi_massive,0.1349409985957909,516.3386834248433,0.0183164016149188,0.0011662237676975,8903191.947484136,27887836.12812854,0.3192500094514002,0.36418166238217653,0.022,-0.044931652930776333,-12.337703287109642,2373,1.2283940315246582,0.0011664811151349496,6.302080435675163
M2,P5_upper,M2_scalar_phi_massive,0.4025570751699877,43.33190537241678,0.0731616497856114,0.0040257363273461,1673595.3934517773,10092309.955028519,0.16582877467193763,0.36418166238217653,0.022,-0.1983528877102389,-54.46536940184677,2784,1.6255509853363037,0.0040267783656044946,6.302320976181745
M3,P1_lower,const_rdiss_1p05,0.0523300939749764,5795.148194299541,0.0042082611168164,0.00105526978328,32326053.9099831,75737545.30379963,0.42681676281316383,0.36418166238217653,0.022,0.0626351004309873,17.19886169481463,15078,7.2387659549713135,0.001055275981353781,19.1001696573784
M3,P2_p25,const_rdiss_1p05,0.1008234702180526,854.5889772431324,0.0148115262366714,0.0082184285074879,16144101.453532435,40375967.66274284,0.39984432294930483,0.36418166238217653,0.022,0.0356626605671283,9.792547031020877,95280,42.54197812080383,0.008218537950890906,57.12314453765977
M3,P3_median,const_rdiss_1p05,0.1084444201300317,596.7997946440763,0.0197189081650115,0.0106591347932559,13703312.050429445,35941368.697662786,0.3812685088790331,0.36418166238217653,0.022,0.017086846496856545,4.691847026313314,200000,86.59997320175171,0.010614860447543959,61.65488892764716
M3,P4_p75,const_rdiss_1p05,0.1349409985957909,383.1953658318604,0.0246805351479058,0.0133022368388142,10118905.548857182,31509296.329742834,0.32114032135035525,0.36418166238217653,0.022,-0.04304134103182128,-11.818645878620101,200000,88.73427844047546,0.013222525048920637,61.54084014261916
M3,P5_upper,const_rdiss_1p05,0.5387778619180345,15.887971256874046,0.1490872665860603,0.0652752856047309,1283104.5039973645,7530359.480274489,0.17039087009835474,0.36418166238217653,0.022,-0.1937907922838218,-53.21267166946353,200000,89.91339635848999,0.06469714231254726,61.31379806612508
