snapshot_idx,snapshot_time_gyr,r2D_rs,M_inner_sim_msun,M_outer_sim_msun,mass_ratio,ratio_nsigma,mass_mu,M_inner_phys_msun,M_outer_phys_msun,mass_chi2,mass_nsigma_dof1,mass_residual_inner_sigma,mass_residual_outer_sigma
0,0.0,1.2263306841775632,1582467395.0369384,5273156536.890544,0.30009869495929703,2.912862155585432,0.000232509703810374,367939.0253096126,1226060.0645381578,9.676405649500122,3.1106921495866673,-2.7171892709708274,1.5143606291835328
0,0.0,1.3190254178484833,1703392756.6845436,5506443696.044316,0.30934535077662123,2.4925596184343317,0.0002212560686368874,376885.98468857224,1218334.084357137,6.981875564533554,2.6423238947058616,-2.291143586258465,1.3162585732599255
0,0.0,1.4187266741165963,1830552902.395435,5743222815.885195,0.3187326978386254,2.0658620247068695,0.0002107139636393538,385723.05771526525,1210177.24359914,4.723826414837736,2.1734365449301105,-1.8703305849873688,1.1071088102343611
0,0.0,1.525964055441083,1963937312.013077,5983319665.698092,0.32823539803032376,1.633921106902399,0.00020082897982606185,394415.52681392437,1201623.9844353613,2.9092901370288042,1.7056641337112075,-1.4564034850512204,0.887794472701573
0,0.0,1.64130719537513,2103518207.5515258,6226611157.588433,0.3378271349075568,1.1979330670281705,0.00019155103214450766,402931.08379125944,1192713.793998572,1.5391059114230778,1.240607073743769,-1.0509007718447885,0.659328051245437
0,0.0,1.7653687843987245,2249346289.870924,6472913563.093819,0.3475013636356698,0.7581953975684876,0.00018283429193589887,411257.63622719154,1183470.5680705346,0.6065931919734482,0.7788409285428239,-0.6543982748956408,0.42232225821883634
0,0.0,1.8988078244652633,2401423740.208556,6721929338.051899,0.35725215476670263,0.3149776188851771,0.00017464012953880752,419384.9530675899,1173918.6103480943,0.10296462296924005,0.3208810106086679,-0.2673831872576238,0.17740026533575012
0,0.0,2.0423331295497618,2559717789.6012907,6973178738.957023,0.3670804787063507,0.13176437837155267,0.00016693620124806825,427309.5640631415,1164075.9693052804,0.017716705993854543,0.13310411711834666,0.10997924110197484,-0.07497514601845223
0,0.0,2.196707090793235,2724024916.8728466,7226579179.8956175,0.3769452806178473,0.5801644652577633,0.0001596888302704702,434996.3526030397,1154003.976094465,0.33763513903145215,0.5810637994501568,0.4760167906209383,-0.33323138219320503
0,0.0,2.362749726243281,2894325957.087763,7481933094.5899105,0.38684199931974966,1.0300153153442333,0.0001528653662618842,442442.1975114994,1143728.4428513993,1.045923280400987,1.0227039065149732,0.8305808338809237,-0.596706593553864
0,0.0,2.541343036702639,3070566243.978796,7739002558.867591,0.39676511548125093,1.4810660499579273,0.00014643693960167392,449644.3236124617,1133275.8502900933,2.1249380696978775,1.4577167316381732,1.1735392196410324,-0.8647217874335041
0,0.0,2.7334356908235615,3252661228.1331472,7997219902.909867,0.406723995041031,1.933742393584295,0.00014038081962530822,456611.24916879286,1122656.284694315,3.5587315109073705,1.8864600475248265,1.5052975794663264,-1.1370183411714119
0,0.0,2.940048064334711,3440405085.350092,8256296630.422337,0.4167007605653461,2.3872317355986175,0.000134673958039427,463332.97010306956,1111908.1459665603,5.327482074644857,2.3081338944361214,1.825379528717598,-1.412611641883068
0,0.0,3.1622776601683795,3633564785.398349,8516022011.838405,0.42667395414751275,2.840558716606192,0.00012929435976265154,469799.43258419586,1101073.6137452943,7.408516145969579,2.721858950417817,2.1333063135331365,-1.6904201603770699
1,0.010016877878805399,1.2263306841775632,1585374930.2322683,5271113076.338791,0.3007666326394648,2.8825013519414426,0.0002324960109069756,368593.34707092715,1225512.7632883652,9.465744924956216,3.0766450762082087,-2.686031091860612,1.5003272638042362
1,0.010016877878805399,1.3190254178484833,1706346523.445845,5504140947.870679,0.3100114149703886,2.4622839732630886,0.00022124532276895746,377521.1873354644,1217765.4405774837,6.806015525339569,2.608834131434877,-2.2608958411683617,1.301677963525224
1,0.010016877878805399,1.4187266741165963,1833511975.0117803,5740671352.510456,0.3193898173965256,2.0359929538932238,0.00021070620605030338,386332.3520025309,1209595.080869142,4.5833072774099,2.140866011082875,-1.8413165713080533,1.0921815607472298
1,0.010016877878805399,1.525964055441083,1966890217.6603844,5980565099.182602,0.3288803290393429,1.604606061037893,0.0002008227147627488,394996.23315085226,1201033.319033198,2.8028454918847894,1.6741700904880572,-1.4287508023403686,0.8726492059794374
1,0.010016877878805399,1.64130719537513,2106410583.7759392,6223692491.952621,0.33845029883780037,1.1696074338352802,0.00019154639904517883,403475.36223293416,1192125.8855980402,1.4656521819262096,1.2106412275840475,-1.024982750812659,0.6442534768728253
1,0.010016877878805399,1.7653687843987245,2252127337.4612207,6469869562.922855,0.34809470508765405,0.7312253315692034,0.00018283148114823518,411759.77684246626,1182895.8350250707,0.5636395772280242,0.7507593337601766,-0.630486817025416,0.4075855134633513
1,0.010016877878805399,1.8988078244652633,2404046340.552044,6718765560.6508255,0.3578107196702323,0.28958830508837347,0.00017463993506035456,419842.49679609196,1173364.7811978068,0.08695117855490041,0.29487485236096417,-0.2455953906622876,0.16319951789248258
1,0.010016877878805399,2.0423331295497618,2562149750.925686,6969938004.590221,0.3676000775384688,0.15538250710419388,0.00016693836736583856,427721.09636632394,1163550.0711274021,0.02461506541826728,0.15689189086204322,0.12957601744399705,-0.08845971468199665
1,0.010016877878805399,2.196707090793235,2726246517.5877876,7223303378.989489,0.37742378722699843,0.6019147656737228,0.00015969298955079698,435362.4566460432,1153510.911023205,0.36312209150828584,0.6025961263634921,0.49345031647824883,-0.34587407632807915
1,0.010016877878805399,2.362749726243281,2896281163.9080048,7478658495.8537445,0.38727281978629413,1.0495980638235274,0.00015287201442877843,442760.3358787437,1143277.58948606,1.085248372148576,1.041752548424325,0.8457302799401749,-0.6082669362548727
1,0.010016877878805399,2.541343036702639,3072217378.995512,7735758845.185869,0.3971449266295859,1.498330193064062,0.0001464462773889358,449914.79848348605,1132873.0856560033,2.1733008876594524,1.4742119547946464,1.186418975404098,-0.8750490857435044
1,0.010016877878805399,2.7334356908235615,3253978762.438528,7993988567.065508,0.4070532169441196,1.9487070255428676,0.00014039340168972434,456837.14748486434,1122303.2479990916,3.6118994158990763,1.9004997805574924,1.5160546421363972,-1.1460705641258555
1,0.010016877878805399,2.940048064334711,3441392966.153373,8253134755.679789,0.4169801012621312,2.3999290399979394,0.00013468892167274173,463517.50766335597,1111605.8206623376,5.381601378590911,2.3198278769320173,1.8341670315883793,-1.4203635727605746
1,0.010016877878805399,3.1622776601683795,3634192157.463353,8512960523.879036,0.42690109360537576,2.850883237418147,0.00012931176508568763,469943.80254214944,1100825.9514475781,7.459405074310138,2.731191145692688,2.1401810734356874,-1.6967704757031243
2,0.02001326253857012,1.2263306841775632,1588269633.8554187,5269072160.413069,0.3014325075652231,2.8522343098615193,0.0002324821915950359,369244.40532255295,1224965.4435252207,9.258243510646135,3.042736188144831,-2.655028317973669,1.4862934237236085
2,0.02001326253857012,1.3190254178484833,1709286724.1073284,5501837654.672836,0.3106756017520059,2.4320936650077547,0.00022123459507628472,378153.356277154,1217196.825707001,6.633056944142446,2.575472178871759,-2.2307925582307617,1.2870980950513056
2,0.02001326253857012,1.4187266741165963,1836456816.6258388,5738123003.259055,0.3200448675608374,2.0062179464245067,0.00021069840097933233,386938.51473065914,1209013.341409407,4.445481324803515,2.108431010207238,-1.812451679492422,1.0772651643437716
2,0.02001326253857012,1.525964055441083,1969820963.404583,5977814332.987494,0.32952193789868645,1.5754420219768221,0.0002008166178259234,395572.7835935104,1200444.4563418769,2.699022815261045,1.6428702977596998,-1.401296019356648,0.8575501626122277
2,0.02001326253857012,1.64130719537513,2109284067.5648584,6220778195.390234,0.33907077238791367,1.141404090648312,0.00019154186551646797,404016.2052055367,1191539.4605092125,1.3943711952937157,1.1808349568393186,-0.9992283235458723,0.6292169361336527
2,0.02001326253857012,1.7653687843987245,2254890646.904872,6466830425.712612,0.34868559997170395,0.704366473203299,0.0001828287629722307,412258.8676112708,1182322.607084221,0.5224703527952541,0.7228211070488009,-0.6067205899394854,0.3928873611338711
2,0.02001326253857012,1.8988078244652633,2406652177.2449245,6715604108.844442,0.35836719053694166,0.26429417478340317,0.00017463988666350624,420297.46347253415,1172812.3404455702,0.07235602766948157,0.26899075759118857,-0.22393031083170734,0.14903437039923545
2,0.02001326253857012,2.0423331295497618,2564553900.6441536,6966701103.692781,0.3681159651423515,0.17883194364431723,0.00016694090721151235,428128.95476635767,1163027.4025219174,0.03257611796181012,0.18048855354789156,0.14899784601703175,-0.10186147379699068
2,0.02001326253857012,2.196707090793235,2728449614.617363,7220032103.531965,0.3778999283510988,0.623557544041922,0.0001596973354479122,435726.13335827575,1153019.8887824393,0.38938092951215164,0.6240039499171072,0.5107682551559881,-0.3584643901938644
2,0.02001326253857012,2.362749726243281,2898220897.0395737,7475388877.788699,0.38770168942661065,1.0690921383833691,0.00015287880238799576,443076.5397952728,1142828.4990208799,1.1250851305336242,1.0607003019390653,0.8607876092987052,-0.619782076387696
2,0.02001326253857012,2.541343036702639,3073855312.0833693,7732506272.849264,0.3975238045233061,1.5155519155058896,0.00014645589466802262,450184.2298112237,1132471.124216236,2.222053130349596,1.4906552687826906,1.1992490386296994,-0.8853557893272835
2,0.02001326253857012,2.7334356908235615,3255285138.2562265,7990759936.499182,0.40738117076789493,1.9636140175326546,0.00014040610181872328,457061.89657098043,1121951.453253079,3.6652219594861144,1.9144769414871818,1.5267569795704967,-1.1550909422287443
2,0.02001326253857012,2.940048064334711,3442369017.5004807,8249976665.813019,0.417258030773017,2.412562199583657,0.0001347040116486405,463700.9162323039,1111304.9528926893,5.43569040711856,2.3314567135416775,1.8429007729668518,-1.4280781309566855
2,0.02001326253857012,3.1622776601683795,3634811095.1841135,8509903304.133301,0.42712719114195674,2.861160398171828,0.00012932924723416776,470087.3827785623,1100579.3883591169,7.510211694647493,2.7404765451737574,2.1470182275505865,-1.7030926061764908
3,0.030005481032955427,1.2263306841775632,1591156172.0869365,5267030461.673145,0.3020973931450329,2.8220122380519825,0.00023246822906916476,369893.2574975213,1224417.2438785012,9.05354323197937,3.008910638749408,-2.624130595356129,1.4722370225256727
3,0.030005481032955427,1.3190254178484833,1712218219.2451353,5499531783.791611,0.3113389078487441,2.4019433878832936,0.00022122381558415974,378783.4475741242,1216627.4051367403,6.462718808172676,2.542187799548388,-2.20078821075599,1.2724975676087256
3,0.030005481032955427,1.4187266741165963,1839392350.5629075,5735573672.571497,0.3206989318887488,1.9764877497012598,0.00021069053421228352,387542.55696608685,1208431.0810879976,4.310098566408472,2.076077687951121,-1.7836877635196737,1.0623354125127602
3,0.030005481032955427,1.525964055441083,1972729582.3379054,5975062940.646286,0.3301604689246215,1.5464178844343208,0.00020081080485281463,396145.4151862316,1199857.198157406,2.597745736746289,1.611752380716805,-1.3740278482746855,0.8424922604463063
3,0.030005481032955427,1.64130719537513,2112143084.6490083,6217863577.454969,0.3396895184878804,1.1132792679225503,0.0001915374326965491,404554.463921441,1190953.6264831051,1.325127207652267,1.1511416974691981,-0.9735969561218573,0.6141955508488494
3,0.030005481032955427,1.7653687843987245,2257640684.845428,6463791258.1020565,0.34927499894362807,0.6775756108431119,0.00018282613546037285,412755.7216683991,1181749.9761413403,0.4829986378049416,0.6949810341332644,-0.5830608729333755,0.3782045164446239
3,0.030005481032955427,1.8988078244652633,2409245503.64872,6712440146.70317,0.35892245606570156,0.23905483256704427,0.00017463998050147952,420750.58778048964,1172260.41633759,0.059140002333429025,0.24318717551184524,-0.20235296283382645,0.13488247019461452
3,0.030005481032955427,2.0423331295497618,2566946253.5922127,6963462890.726238,0.36863070772026457,0.2022293335494565,0.00016694357284264516,428535.17886972666,1162505.3743350122,0.04162080643605247,0.20401178014039403,0.16834185093936477,-0.11524681192276498
3,0.030005481032955427,2.196707090793235,2730637293.709917,7216760116.750303,0.37837440202176476,0.6451245290721921,0.00015970188538815496,436087.9241166828,1152530.1970390647,0.41643646143665736,0.6453188835270958,0.5279963865087041,-0.3710205887419303
3,0.030005481032955427,2.362749726243281,2900148134.2688594,7472118988.793774,0.3881292761288095,1.0885278975742254,0.00015288574481799982,443391.3075902271,1142380.4769704558,1.1654861561318526,1.0795768412354225,0.8757765519155766,-0.631269821270363
3,0.030005481032955427,2.541343036702639,3075482566.0588727,7729245774.760565,0.39790202765989086,1.532743876259742,0.00014646573621947322,450452.81826796744,1132069.6728215588,2.2712263273094013,1.507058833393508,1.2120389651413064,-0.8956494148318261
3,0.030005481032955427,2.7334356908235615,3256582335.1456065,7987528975.283714,0.40770835952177986,1.9784862336183333,0.0001404189413456106,457285.84390596254,1121600.362676729,3.7187768856532726,1.928413048507314,1.5374211383791685,-1.1640932646992568
3,0.030005481032955427,2.940048064334711,3443334333.32429,8246817332.023773,0.4175349343501578,2.425148725817331,0.00013471925983053623,463883.45273452124,1111005.1269278803,5.489820529270969,2.343036604338688,1.8515929873581543,-1.4357659762081965
3,0.030005481032955427,3.1622776601683795,3635422414.2530518,8506845452.629309,0.4273525873365208,2.871405679742922,0.00012934683718301515,470230.39110787335,1100333.553702316,7.561010577325176,2.7497291825423784,2.153828147993969,-1.709396058914974
4,0.040012226456454934,1.2263306841775632,1594039775.8337564,5264984155.784483,0.30276250196924753,2.7917800187695,0.0002324541044066818,370541.0884800637,1223867.1766482517,8.85126001479231,2.9751067232609167,-2.593281500949347,1.4581327345705568
4,0.040012226456454934,1.3190254178484833,1715146475.0011775,5497219527.719644,0.31200254353179424,2.3717781295628315,0.00022121295039897597,379412.61210141395,1216056.1507177276,6.294680853414231,2.508920256487685,-2.170827995170764,1.257850018403272
4,0.040012226456454934,1.4187266741165963,1842324113.2346873,5733018643.123055,0.32135323952672223,1.946746493429741,0.00021068259001638044,388145.6158259153,1207847.2163453603,4.176894511222368,2.0437452168072143,-1.7549706749564142,1.0473645216759044
4,0.040012226456454934,1.525964055441083,1975622091.3686776,5972305829.740336,0.33079720759286263,1.5174752176960864,0.00020080525307548177,396715.2940387999,1199270.3835851834,2.498781160510147,1.5807533522058863,-1.3468907600571485,0.8274457329534209
4,0.040012226456454934,1.64130719537513,2114992496.5245395,6214943245.321169,0.34030761232080137,1.085184093698871,0.00019153310514419025,405091.08021600806,1190367.3780712744,1.2577839932848254,1.1215096937988656,-0.9480437992377112,0.5991635402890866
4,0.040012226456454934,1.7653687843987245,2260382452.2813377,6460746436.815528,0.34986397847173056,0.6508038141111804,0.00018282359747607424,413251.2515978649,1181176.905959343,0.4451400194587391,0.6671881439734515,-0.5594642096254808,0.3635104092139249
4,0.040012226456454934,1.8988078244652633,2411831099.161618,6709268010.582225,0.35947753098513074,0.21382415441117208,0.000174640214899578,421202.70145907043,1171708.007186944,0.04727009259825431,0.21741686364735902,-0.18082374004426502,0.12071813299856149
4,0.040012226456454934,2.0423331295497618,2569331220.933894,6960217428.091043,0.369145252641709,0.22561773906965768,0.00016694636958662648,428940.5196004881,1161983.0311533662,0.05175850007360985,0.2275049451629785,0.18764379049943472,-0.12864022683676404
4,0.040012226456454934,2.196707090793235,2732812863.559606,7213481389.611556,0.37884798143310483,0.6666508659512864,0.00015970666328894674,436448.42383221636,1152041.0434317763,0.4443233062539165,0.6665758068321386,0.5451630396293504,-0.38356298892881174
4,0.040012226456454934,2.362749726243281,2902066226.150132,7468842789.510621,0.3885563410473503,1.1079399393260814,0.00015289285923632417,443705.2030092627,1141932.729274882,1.2065174057629626,1.0984158619407145,0.8907239528220324,-0.642750531413282
4,0.040012226456454934,2.541343036702639,3077101992.772817,7725973382.697394,0.3982801700642798,1.5499321673683302,0.00014647579894669867,450720.972831877,1131668.123871529,2.3208925251216503,1.5234475787245356,1.2248082300893812,-0.9059455417556664
4,0.040012226456454934,2.7334356908235615,3257872595.6786447,7984289834.366837,0.40803536235067017,1.9933499985678929,0.00014043194564365556,457509.38727029844,1121249.3560229952,3.7726567356045644,1.9423328076322461,1.5480660604904017,-1.1730934353078155
4,0.040012226456454934,2.940048064334711,3444290000.754735,8243650953.506085,0.41781123681490334,2.4377079287603096,0.00013473470553856463,464065.39904111176,1110705.88378335,5.544072260312765,2.3545853690857688,1.860257097195798,-1.44343887735
4,0.040012226456454934,3.1622776601683795,3636027033.997977,8503781328.701402,0.42757767320825835,2.8816368557309917,0.00012936457076284655,470373.0765352543,1100088.0214485656,7.611888625394499,2.7589651366761596,2.160622692154967,-1.715691757729086
5,0.050006759120541304,1.2263306841775632,1596912480.3992038,5262938704.737503,0.30342600778567347,2.761620663477412,0.0002324398658566701,371186.1227288333,1223316.7665410624,8.651935137785054,2.941417198866059,-2.562565584341272,1.4440196548990356
5,0.050006759120541304,1.3190254178484833,1718063613.8254023,5494907328.33485,0.3126647113712172,2.341679591407242,0.00022120202395601866,380039.14866337064,1215484.622478428,6.129385609218655,2.475759602469241,-2.1409929207918745,1.2431954481648222
5,0.050006759120541304,1.4187266741165963,1845244295.3126838,5730464792.097794,0.3220060435337186,1.9170735840208155,0.0002106745895964568,388746.08462020283,1207263.3182721478,4.046212124108704,2.011519854266595,-1.7263769228474841,1.0323927762089178
5,0.050006759120541304,1.525964055441083,1978502590.7040606,5969550421.641188,0.3314324280655155,1.4886015598482294,0.0002007996736810861,397282.6745905588,1198683.7766883406,2.4020649031078847,1.549859639808678,-1.319872638544819,0.8124045304702714
5,0.050006759120541304,1.64130719537513,2117823964.2457714,6212025061.811735,0.34092328076154105,1.0571991645743402,0.00019152891357766933,405624.52302074543,1189782.4112060557,1.1925158534137201,1.09202374214745,-0.9226417609168843,0.5841643898988632
5,0.050006759120541304,1.7653687843987245,2263108449.4705954,6457704159.978718,0.35045093324282195,0.6241240517888446,0.00018282116056978607,413744.1132275033,1180604.9691436447,0.4089833070822979,0.6395180271753861,-0.5359946082141278,0.3488453626575557
5,0.050006759120541304,1.8988078244652633,2414401981.8576574,6706096399.967356,0.3600309088711296,0.188670614138497,0.00017464058822040361,421652.58231212955,1171156.61995303,0.036767924662707355,0.19174964058038638,-0.15940084227954504,0.10657999879564159
5,0.050006759120541304,2.0423331295497618,2571702375.68358,6956973505.173471,0.3696582103943854,0.2489340005549487,0.00016694929032950133,429343.8865590663,1161461.7895298544,0.06295317540015438,0.25090471378623874,0.20685174090791927,-0.1420053966703992
5,0.050006759120541304,2.196707090793235,2734969328.871688,7210204774.595036,0.37931923078083435,0.6880712908480827,0.0001597116799529099,436806.5461337798,1151553.9173550652,0.4729456698274036,0.6877104549353628,0.562216482560943,-0.39605340115217347
5,0.050006759120541304,2.362749726243281,2903969794.2490544,7465569111.782095,0.38898170397566006,1.1272746178856152,0.0001529001312616913,444017.3627206671,1141486.4971347104,1.2480585669196094,1.1171654160954005,0.9055887009841473,-0.6541923811612711
5,0.050006759120541304,2.541343036702639,3078709092.358354,7722698911.542154,0.3986571440402774,1.5670673480954946,0.00014648604683208688,450987.92428557755,1131267.6344262704,2.3709052689685928,1.5397744214554911,1.2375202040751214,-0.9162145018905031
5,0.050006759120541304,2.7334356908235615,3259152309.768912,7981051350.49902,0.4083612755561498,2.008164235180604,0.00014044508116385496,457731.9106708602,1120899.404693729,3.8267098372975656,1.956197801168779,1.558662412898105,-1.1820665463146407
5,0.050006759120541304,2.940048064334711,3445232329.5105405,8240486098.149576,0.4180860556617136,2.4501996945244118,0.00013475032506241389,464246.1763170828,1110408.180397958,5.598269215058364,2.36606618991489,1.8688655389087037,-1.4510722974882557
5,0.050006759120541304,3.1622776601683795,3636623129.7958903,8500719198.859018,0.4278018182607425,2.8918252672075435,0.00012938240331659802,470515.0404897209,1099843.4798679254,7.662701868242088,2.7681585699237115,2.167382880462899,-1.7219620546685794
6,0.060008453744667845,1.2263306841775632,1599779458.617713,5260890135.879819,0.3040891212890097,2.7314791405984913,0.00023242550105128176,371829.54224077024,1222765.0258076128,8.455187347206625,2.9077804847007664,-2.531926559963322,1.4298724566054566
6,0.060008453744667845,1.3190254178484833,1720975196.6997018,5492590874.9868765,0.3133266678457666,2.311590660745905,0.0002211910149896224,380664.2505299721,1214911.7505610853,5.966503956181216,2.442642822064089,-2.1112261652394246,1.2285064246432127
6,0.060008453744667845,1.4187266741165963,1848158560.9591997,5727907216.332711,0.3226586065656423,1.887411628024282,0.00021066651843462152,389345.1295524148,1206678.2711813566,3.9177835330446213,1.9793391657431076,-1.6978509736945326,1.017391568752734
6,0.060008453744667845,1.525964055441083,1981376711.513147,5966791427.752831,0.3320673657700414,1.4597407550970505,0.0002007940554750787,397848.66532859986,1198096.248952426,2.3073945568401157,1.519011045660997,-1.2929206986381019,0.7973397167288722
6,0.060008453744667845,1.64130719537513,2120641753.5371761,6209103428.4230175,0.34153751471261523,1.0292794395255136,0.00019152488182473196,406155.66123880004,1189197.8003662564,1.129195523615349,1.0626361200407923,-0.8973494648190459,0.5691743683655484
6,0.060008453744667845,1.7653687843987245,2265823745.026452,6454658092.561841,0.35103698949407114,0.5974851312775178,0.00018281883609333878,414235.25985838595,1180033.079862606,0.37444289991859336,0.6119173963196286,-0.5126066734101928,0.33418153493861574
6,0.060008453744667845,1.8988078244652633,2416963058.2431006,6702919366.221406,0.36058363918609987,0.1635465089125755,0.00017464110091856524,422101.0893710774,1170605.217485278,0.027601396258083343,0.16613667944822824,-0.13804336328202738,0.09244147398148496
6,0.060008453744667845,2.0423331295497618,2574064268.1170473,6953724947.487347,0.37017056146967064,0.27222268579518705,0.00016695234114828412,429746.0558282856,1160940.6596842415,0.07521632397329928,0.2742559461038161,0.22600265848978943,-0.15536770040406367
6,0.060008453744667845,2.196707090793235,2737108436.585696,7206924010.102511,0.37978871884161347,0.7094116572471337,0.00015971699390750102,437162.7314903273,1151068.2382133657,0.5023245307512115,0.708748566666072,0.5791776900155847,-0.40850671247780346
6,0.060008453744667845,2.362749726243281,2905862268.237937,7462291686.1609125,0.38940614900205023,1.1465675736306227,0.00015290757989060014,444328.3669316729,1141040.962168611,1.2901783929062973,1.135860199543191,0.9203984253177575,-0.6656163546510029
6,0.060008453744667845,2.541343036702639,3080306824.4163933,7719416716.368073,0.399033623600729,1.58418005538875,0.0001464964947870179,451254.1526455318,1130867.4907482343,2.4213495790687283,1.5560686292926569,1.2501977450253243,-0.9264745961991199
6,0.060008453744667845,2.7334356908235615,3260423815.479699,7977807415.67315,0.4086867037018581,2.02295642362189,0.00014045837442091933,457953.82904553,1120549.8610486062,3.881033214753539,1.9700338105610113,1.5692299545490476,-1.1910292038818917
6,0.060008453744667845,2.940048064334711,3446159596.4824514,8237316735.0689535,0.418359486143227,2.462628352775021,0.00013476620490938067,464425.85032998264,1110111.9150217732,5.652426080571834,2.3774831399132643,1.8774214442848876,-1.4586688455955592
6,0.060008453744667845,3.1622776601683795,3637211661.5985994,8497653204.545787,0.42802542938006544,2.9019894089949503,0.00012940037197681472,470656.5419692671,1099599.4855981965,7.7135408779899555,2.7773262102226948,2.1741210461555776,-1.7282183179949613
