"model","source_run_dir","source_snapshot_idx","source_snapshot_time_gyr","source_mass_chi2","lambda","mu","r_s_sim_kpc","rho_s_sim_msun_pc3","r_s_phys_kpc","rho_s_phys_msun_pc3","sigma_m_elastic_guess_cm2_g","t_evo_phys_gyr","eta_B","m_chi_GeV","m_mediator_keV","v_threshold_kms","sigma_m_100_kms","n_shells","t_epsilon","steps","completed","t_final_gyr","v_max_final_kms","max_cooling_seen_code","M_inner_direct_msun","M_outer_direct_msun","mass_ratio_direct","mass_ratio_offset_sigma","mass_residual_inner_sigma","mass_residual_outer_sigma","mass_chi2_direct","posthoc_common_mass_scale","posthoc_common_scale_chi2","output_dir"
"M1_dark_photon_massive","D:\graverthermal-sidm\data\P2_born_long_eta0p1_sigma1\M1_eta0p1_sigma1","18","0.4500927552596403","8.914121838623987e-05","0.0029258124408245967","0.0001728768337269","3.6","0.00709","0.010532924786968548","48.93770382382564","0.04951720976338064","0.0054175552117216004","0.1","0.14777088468960564","0.016254797315856623","198.85981963287605","0.9999999999999994","48","0.005","22464","True","0.005417602305626688","5.347699230386369","0.0","420662.69872993795","1169510.9928880136","0.35969110276693095","-0.20411634614752647","-0.20653815571724027","0.06438443302598973","0.046803364983157146","1.0016966830414276","0.04305954026552269","D:\graverthermal-sidm\data\P5_born_direct_shell_projection\M1_best_n48"
"M1_dark_photon_massive","D:\graverthermal-sidm\data\P2_born_long_eta0p1_sigma1\M1_eta0p1_sigma1","18","0.4500927552596403","8.914121838623987e-05","0.0029258124408245967","0.0001728768337269","3.6","0.00709","0.010532924786968548","48.93770382382564","0.04951720976338064","0.0054175552117216004","0.1","0.14777088468960564","0.016254797315856623","198.85981963287605","0.9999999999999994","96","0.005","21523","True","0.00541779172118908","5.281836091874568","0.0","416422.86774708994","1163576.3574699438","0.35788185714992626","-0.286354783284103","-0.40843486918619326","-0.08778570589887646","0.17452537252730682","1.00835169910915","0.08500988346753524","D:\graverthermal-sidm\data\P5_born_direct_shell_projection\M1_best_n96"
"M1_dark_photon_massive","D:\graverthermal-sidm\data\P2_born_long_eta0p1_sigma1\M1_eta0p1_sigma1","18","0.4500927552596403","8.914121838623987e-05","0.0029258124408245967","0.0001728768337269","3.6","0.00709","0.010532924786968548","48.93770382382564","0.04951720976338064","0.0054175552117216004","0.1","0.14777088468960564","0.016254797315856623","198.85981963287605","0.9999999999999994","192","0.005","21299","True","0.0054176707587740664","5.266477386170051","0.0","415431.6929006077","1161984.636407958","0.3575190926661744","-0.3028440780000979","-0.4556336713996328","-0.12859906646261254","0.22413976240816397","1.0100426335027606","0.09514115459227654","D:\graverthermal-sidm\data\P5_born_direct_shell_projection\M1_best_n192"
"M2_scalar_phi_massive","D:\graverthermal-sidm\data\P2_born_long_eta0p1_sigma1\M2_eta0p1_sigma1","19","0.5001268850867431","0.0027709586329863","0.0029258124408245967","0.0001729214131726","3.6","0.00709","0.010532924786968548","48.950323303620976","0.049504444139254845","0.006019016538748711","0.1","0.4598205052925115","0.31957525117829544","499.8539183489865","0.9999999999999999","48","0.005","24857","True","0.006019104503185499","5.350143000301886","0.0","421107.7513216733","1169776.5306652403","0.35998991284445886","-0.19053406989625776","-0.1853451751584154","0.07119309398051925","0.03942129058502273","1.0012147282395043","0.03750044617852114","D:\graverthermal-sidm\data\P5_born_direct_shell_projection\M2_best_n48"
"M2_scalar_phi_massive","D:\graverthermal-sidm\data\P2_born_long_eta0p1_sigma1\M2_eta0p1_sigma1","19","0.5001268850867431","0.0027709586329863","0.0029258124408245967","0.0001729214131726","3.6","0.00709","0.010532924786968548","48.950323303620976","0.049504444139254845","0.006019016538748711","0.1","0.4598205052925115","0.31957525117829544","499.8539183489865","0.9999999999999999","96","0.005","23819","True","0.006019263198528114","5.284128638019039","0.0","416843.5876452986","1163845.5482119932","0.3581605723248176","-0.27368591169813195","-0.388400588319113","-0.08088337917966194","0.15739713803415406","1.0078807655634556","0.07761722812879779","D:\graverthermal-sidm\data\P5_born_direct_shell_projection\M2_best_n96"
"M2_scalar_phi_massive","D:\graverthermal-sidm\data\P2_born_long_eta0p1_sigma1\M2_eta0p1_sigma1","19","0.5001268850867431","0.0027709586329863","0.0029258124408245967","0.0001729214131726","3.6","0.00709","0.010532924786968548","48.950323303620976","0.049504444139254845","0.006019016538748711","0.1","0.4598205052925115","0.31957525117829544","499.8539183489865","0.9999999999999999","192","0.005","23571","True","0.006019047080728211","5.268749422364013","0.0","415846.9954919781","1162254.7139969764","0.3577933395183974","-0.29037831198995934","-0.4358573575248537","-0.12167400007752868","0.20477619840341463","1.009573900034908","0.0874288388758874","D:\graverthermal-sidm\data\P5_born_direct_shell_projection\M2_best_n192"
