snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,44.14626630350791,0.03966157844079252,11.45909875772933,21.659983378248864,8.470923946259113,0.08781094089353053,3.57142523597559,0.11390426030416465,0.9203992771263687,0.1383460250481442
1,0.01000543429288326,20.44759606052639,0.05795752057384465,13.852251382411286,21.66188730094369,8.549490701976215,0.08549846426203699,3.630881012103856,0.11229271483799459,0.9221538540026293,0.13826612271494101
2,0.020004943472558934,14.0799243479458,0.07072677260418972,15.302323736341284,21.663471926280263,8.290339598246362,0.0859303703142482,3.6967430387308893,0.1104921224678687,0.9240371198884286,0.13816121716056598
3,0.0300145173658421,11.515567985666811,0.07823031672155302,16.093592832954137,21.664706553545667,7.86477742071945,0.08794824563779871,3.7505510483305917,0.10902547502130343,0.9260641811977444,0.13803182310938178
4,0.04000169647287775,10.0944910980147,0.08317901197621029,16.594812275680848,21.665580589203643,7.444229383555746,0.09025713725049128,3.782166849037112,0.10811728162257031,0.9282469136748644,0.1378780250254351
5,0.05000335857567281,9.154424193100462,0.08684262319789034,16.956332804927314,21.666146392524585,7.076480052824475,0.09240976674770193,3.7919037749385343,0.10769557526182141,0.9306207094993031,0.13769698781188486
6,0.06000544550990633,8.470504508457312,0.08974797279018042,17.237639309633668,21.666426186439125,6.762035535313275,0.09433075179893702,3.7862601089554957,0.10760693732625641,0.9332094385030797,0.13748646670194475
7,0.07001393061712141,7.944374547051583,0.09212897218705315,17.46479845799542,21.666430095114656,6.491627000257932,0.09603791905997834,3.770656915457825,0.10772710028707431,0.93602915829589,0.13724554740941425
8,0.08000092958718019,7.501563560101906,0.09441186871687778,17.679857576442735,21.66615993685267,6.258490274021814,0.09755421540899935,3.747648032742078,0.10798245819754716,0.9390666645894824,0.1369767692056722
9,0.09000605468633405,7.174492835830173,0.09588398644372068,17.817161072073763,21.665609089585008,6.053574000611835,0.09891888200680195,3.7206993668943382,0.10831560938510762,0.9423107959617738,0.13668321096449948
10,0.10000981428058069,6.880530415579816,0.09740724552308638,17.95812939637863,21.664765705921244,5.872939598243862,0.10015049368824681,3.691697597008311,0.10869252430771113,0.9457199989818557,0.13637095205981498
