scan_point_id,requested_source_time_gyr,elastic_chi2,elastic_mass_ratio,elastic_vmax_kms,elastic_max_cooling_code,elastic_steps,diss_chi2,diss_mass_ratio,diss_vmax_kms,diss_max_cooling_code,diss_steps,delta_chi2,delta_mass_ratio,delta_vmax_kms,delta_max_cooling_code,delta_steps,identical_mass_observables
M1_eta0p1_sigma0p1_vstar5,0.1,1.9841515588648624e-05,0.3641048145795689,5.342242728344868,0.0,4737,1.9841515588648624e-05,0.3641048145795689,5.342242728344868,3.2060497108157065e-30,4737,0.0,0.0,0.0,3.2060497108157065e-30,0,True
M1_eta0p1_sigma10_vstar5,0.1,0.0640310075445696,0.3587103150699129,5.302706968152173,0.0,4749,0.0640310075445696,0.3587103150699129,5.302706968152173,3.009804955605213e-28,4749,0.0,0.0,0.0,3.009804955605213e-28,0,True
M1_eta0p1_sigma1_vstar5,0.1,0.0062059095946784,0.3625115502025113,5.329821877337619,0.0,4748,0.0062059095946784,0.3625115502025113,5.329821877337619,3.149653745055532e-29,4748,0.0,0.0,0.0,3.149653745055532e-29,0,True
M2_eta0p1_sigma0p1_vstar5,0.1,1.9841515588648624e-05,0.3641048145795689,5.342242728344868,0.0,4737,1.9841515588648624e-05,0.3641048145795689,5.342242728344868,2.3241779950810946e-30,4737,0.0,0.0,0.0,2.3241779950810946e-30,0,True
M2_eta0p1_sigma10_vstar5,0.1,0.0640310075445696,0.3587103150699129,5.302706968152173,0.0,4749,0.0640310075445696,0.3587103150699129,5.302706968152173,2.181290519409671e-28,4749,0.0,0.0,0.0,2.181290519409671e-28,0,True
M2_eta0p1_sigma1_vstar5,0.1,0.0062059095946784,0.3625115502025113,5.329821877337619,0.0,4748,0.0062059095946784,0.3625115502025113,5.329821877337619,2.283106290422753e-29,4748,0.0,0.0,0.0,2.283106290422753e-29,0,True
