model,eta_B,alpha_D,m_chi_GeV,m_mediator_keV,eta_requested,target_sigma_m_100_kms,threshold_velocity_requested_kms,n_shells,flag_dissipation,t_epsilon,r_epsilon,sigma_m_100_kms,scale_t_gyr,target_time_gyr,current_time_gyr,current_time_dimensionless,steps_this_call,total_conduction_steps,n_snapshots,rho_center_initial_code,rho_center_start_code,rho_center_final_code,rho_center_fractional_change_from_initial,u_center_initial_code,u_center_start_code,u_center_final_code,u_center_fractional_change_from_initial,max_cooling_initial_code,max_cooling_final_code,max_cooling_seen_code,v_threshold_kms,v_max_initial_kms,v_max_final_kms,v_central_start_kms,v_central_final_kms,v_max_to_threshold_final,diagnostic_path,trajectory_path,output_dir
M1_dark_photon_massive,0.1,2.2000000000000005e-08,0.14777088468960564,0.016254797315856623,0.1,1.0,,48,True,0.01,1e-08,0.9999999999999994,0.0499502865670473,0.01,0.010045959767101776,0.2011191618213697,0,201,11,30.952127723581164,19.286933185536594,19.286933185536594,-0.3768785991780893,0.047497982030175835,0.05976163220787654,0.05976163220787654,0.25819307796928115,1.28351488767109e-36,1.28351488767109e-36,1.28351488767109e-36,198.85981963287605,21.993828622330543,21.993828622330543,14.066196836100136,14.066196836100136,0.1105996609216197,data\P2_born_long_smoke\M1_eta0p1_sigma1\b1938_snapshot_diagnostics.csv,data\P2_born_long_smoke\M1_eta0p1_sigma1\fluid_trajectory.csv,data\P2_born_long_smoke\M1_eta0p1_sigma1
M2_scalar_phi_massive,0.1,1.39e-07,0.4598205052925115,0.31957525117829544,0.1,1.0,,48,True,0.01,1e-08,0.9999999999999999,0.0499502865670473,0.01,0.010038880711585678,0.20097743980128488,0,185,11,30.952127723581164,17.61131482151987,17.61131482151987,-0.4310144046057769,0.047497982030175835,0.06372279344025604,0.06372279344025604,0.34158948899707897,0.0,0.0,0.0,499.8539183489865,21.994863229973124,21.994863229973124,14.524890538679827,14.524890538679827,0.04400258239971786,data\P2_born_long_smoke\M2_eta0p1_sigma1\b1938_snapshot_diagnostics.csv,data\P2_born_long_smoke\M2_eta0p1_sigma1\fluid_trajectory.csv,data\P2_born_long_smoke\M2_eta0p1_sigma1
