orbit_prior,sample_count,effective_sample_size,host_scale_radius_pc,host_max_radius_pc,projected_radius_pc,current_radius_p16_pc,current_radius_median_pc,current_radius_p84_pc,abs_los_p16_pc,abs_los_median_pc,abs_los_p84_pc,pericentre_p16_pc,pericentre_median_pc,pericentre_p84_pc,predicted_rt_p16_pc,predicted_rt_median_pc,predicted_rt_p84_pc,posterior_probability_current_r_lt_10kpc,free_pj_rt_mean_pc,free_pj_rt_sigma_pc
circular_upper_envelope,500000,11668.850636825466,30000.0,200000.0,1520.0,4738.93766911211,5974.631811058177,7392.19801939906,4488.555472229945,5778.046839333372,7234.237454489213,4738.93766911211,5974.631811058177,7392.19801939906,126.84102245640128,144.60332596588682,163.16504180438884,0.995481530355652,149.0,18.0
phase_mixed,500000,15673.803112967953,30000.0,200000.0,1520.0,6314.623233701556,8570.426367843702,12249.329858216828,6128.953138992147,8434.560339852891,12154.656801899178,4747.53397198381,5968.420544221391,7347.823104955764,127.01848661774632,144.58871296942434,162.77030954483442,0.6766644925861109,149.0,18.0
radial_sensitivity,500000,20510.012336001208,30000.0,200000.0,1520.0,9560.104886224706,14965.82856387122,26224.659131819746,9438.495930208504,14888.43929369973,26180.571929950078,4673.046794184079,5908.37670566396,7297.077653906142,125.91013968607655,143.91132274151798,161.94326280008207,0.1871033852444565,149.0,18.0
