point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,10.0,9.999999999999988,20.0,20.0,0.0037607459822766127,4.184394227983493e-06,2.2253001121072369e-10,data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20,fluid_complete,data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,0.1000280502431163,21.695267479700913,1.0847633739850457,2.930988278916946e-28,data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0041892508074092,0.1000280502431163,0.3627772794498141,1.8988078244652635
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,1.0,0.9999999999999991,20.0,20.0,0.008102281604614767,9.015004081536823e-06,2.225300112107237e-10,data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20,fluid_complete,data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,0.10000914706811165,21.52197906009337,1.0760989530046685,2.9309882789169474e-29,data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.01945758640685,0.0100222306337402,0.3672199301365609,2.0423331295497618
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.1,0.1,True,True,10.0,9.999999999999988,20.0,20.0,0.0037607459822766127,4.184394227983493e-06,2.2253001121072369e-10,data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20,fluid_complete,data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,0.1000280502431163,21.695267479700913,1.0847633739850457,2.1294617526821033e-28,data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0041892508074092,0.1000280502431163,0.3627772794498141,1.8988078244652635
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.1,0.1,True,True,1.0,0.9999999999999991,20.0,20.0,0.008102281604614767,9.015004081536823e-06,2.225300112107237e-10,data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20,fluid_complete,data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,0.10000914706811165,21.52197906009337,1.0760989530046685,2.1294617526821032e-29,data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.01945758640685,0.0100222306337402,0.3672199301365609,2.0423331295497618
