snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,32.45601011691302,0.048976924306993526,12.733893680442758,21.99341015694238,9.290489343448707,0.08810537987752666,3.950468715693014,0.11519179252524436,1.0348186426552712,0.14160762994458947
1,0.005009370419072425,31.927799624959135,0.049061782251789615,12.744920346720944,21.99556724579405,9.227424643871451,0.08819134037003894,3.9411040716764907,0.11532741505957053,1.0369986021536153,0.14168607926682847
2,0.010014535932516997,31.404215575939915,0.049153034386116776,12.756767255387611,21.997757570009714,9.164401998420496,0.08828278549848145,3.93179947271779,0.11546454321272524,1.0391858381406747,0.14176385122265517
3,0.015014450670126103,30.88519264011983,0.04925111384478773,12.76948827371345,21.99997980026359,9.10144340105488,0.08837975060441791,3.922557451529269,0.11560312053837742,1.0413795469113707,0.14184097212622054
4,0.02000801999941383,30.37074893354584,0.049356345185193815,12.783122821791698,22.00223258251109,9.03857136084637,0.08848226618303605,3.913380498925808,0.1157430903368341,1.0435789179552006,0.14191746537852126
5,0.05000141609306036,27.361685873508197,0.05015977415779689,12.88674549184291,22.0164267157118,8.66157584315824,0.08922131444691261,3.8594097709170234,0.11661586207586697,1.0569521833720843,0.1423676615042156
6,0.1000063941307153,22.642624934393286,0.05234411099088204,13.164348756670107,22.042359703942022,8.039873811268432,0.09095346517871819,3.7739542795364818,0.11818841535694738,1.0797764348409689,0.14309503023601486
7,0.15001506606934747,18.288068951003645,0.05611626250020554,13.630438710099272,22.07077654455272,7.433492247597315,0.09328514823523633,3.694285077261033,0.11990370972810097,1.1031342239232782,0.14381034271510576
8,0.2000401680525726,14.376278198857376,0.062235565182153466,14.354391408243337,22.10144770828178,6.852070392591325,0.09623051658678669,3.6204160320047163,0.12176209751653429,1.1269267999772696,0.1445275935353035
9,0.2500325627992464,11.111454022099345,0.07111624427868178,15.34439860554583,22.13424499144435,6.308513052698962,0.0998979034736811,3.5523059479800305,0.12376666066179356,1.151049863344597,0.14525663889311807
10,0.3000052075104598,8.675359939652155,0.08198441315320942,16.475215781342403,22.169186774621558,5.8042136227342915,0.10422433395745419,3.4856252642182435,0.12589542928668274,1.1754385405024552,0.1460068064397241
11,0.3500290768962155,7.035969658585797,0.09296446024794564,17.543811051470847,22.206430373100023,5.349749468280357,0.10919570515034861,3.4217005126361757,0.12821780526751111,1.2000582960258162,0.14678802630123486
12,0.4000523206108193,5.918435868287778,0.10376175955671163,18.534638890911918,22.24611102339064,4.959506409184546,0.11454487996694389,3.362783005453193,0.13075542465798737,1.2248094056074839,0.14760829344926987
13,0.45005074544168183,5.10889500616485,0.11510712300882975,19.521651922054687,22.288412707273583,4.602254397555028,0.12076725811966814,3.3092008339976897,0.13350462327340765,1.2496025482557838,0.1484749777050775
14,0.5000649110847473,4.597027587201319,0.1246612404829555,20.31567176002562,22.33367164203097,4.299815586910676,0.12750615159597198,3.258993514738672,0.13655960140547066,1.2743797617711328,0.14939715962038597
