fluid_output_dir,diagnostic_path,n_rows,best_snapshot_idx,best_snapshot_time_gyr,best_mass_chi2,best_r2D_rs
data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1\b1938_snapshot_diagnostics_refined.csv,165,10,0.10000981428058069,7.81488457425008e-21,1.9944386737106081
data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1\b1938_snapshot_diagnostics_refined.csv,165,6,0.06001498032712337,1.463238822556678e-19,1.9520869132569978
data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma1_vstar1\M1_eta0p1_sigma1_vstar1,data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma1_vstar1\M1_eta0p1_sigma1_vstar1\b1938_snapshot_diagnostics_refined.csv,165,2,0.020011872482026877,1.6794125727946273e-20,1.9939173835804738
data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar1\M2_eta0p1_sigma0p1_vstar1,data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar1\M2_eta0p1_sigma0p1_vstar1\b1938_snapshot_diagnostics_refined.csv,165,10,0.10000981428058069,7.81488457425008e-21,1.9944386737106081
data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma10_vstar1\M2_eta0p1_sigma10_vstar1,data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma10_vstar1\M2_eta0p1_sigma10_vstar1\b1938_snapshot_diagnostics_refined.csv,165,6,0.06001498032712337,1.463238822556678e-19,1.9520869132569978
data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma1_vstar1\M2_eta0p1_sigma1_vstar1,data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma1_vstar1\M2_eta0p1_sigma1_vstar1\b1938_snapshot_diagnostics_refined.csv,165,2,0.020011872482026877,1.6794125727946273e-20,1.9939173835804738
