"model","source_run_dir","source_snapshot_idx","source_snapshot_time_gyr","source_mass_chi2","lambda","mu","r_s_sim_kpc","rho_s_sim_msun_pc3","r_s_phys_kpc","rho_s_phys_msun_pc3","sigma_m_elastic_guess_cm2_g","t_evo_phys_gyr","eta_B","m_chi_GeV","m_mediator_keV","v_threshold_kms","sigma_m_100_kms","n_shells","t_epsilon","steps","completed","t_final_gyr","v_max_final_kms","max_cooling_seen_code","M_inner_direct_msun","M_outer_direct_msun","mass_ratio_direct","mass_ratio_offset_sigma","mass_residual_inner_sigma","mass_residual_outer_sigma","mass_chi2_direct","posthoc_common_mass_scale","posthoc_common_scale_chi2","output_dir"
"M2_scalar_phi_massive","D:\graverthermal-sidm\data\P2_born_convergence_eta0p1_sigma1_n96_teps5\M2_eta0p1_sigma1","10","0.300058769758848","0.0410459330406045","0.0029258124408245967","0.0001741729591716","3.6","0.00709","0.010532924786968548","49.30460898840921","0.049148722508928974","0.003598203174993369","0.1","0.4598205052925115","0.31957525117829544","499.8539183489865","0.9999999999999999","96","0.005","14333","True","0.0035983608762796865","5.302002674538338","0.0","419620.7308652219","1172315.6388157941","0.3579417666807709","-0.283631622791166","-0.25615567308467246","0.13629843117420873","0.0841929911940121","1.0007840090685187","0.08339217181390493","D:\graverthermal-sidm\data\P5_born_direct_time_scan_n96\M2_tidx10"
"M1_dark_photon_massive","D:\graverthermal-sidm\data\P2_born_convergence_eta0p1_sigma1_n96_teps5\M1_eta0p1_sigma1","10","0.3000369675721942","0.0269485367732932","0.0029258124408245967","0.0001741299590987","3.6","0.00709","0.010532924786968548","49.29243659499699","0.04916085941323748","0.0035983859453433253","0.1","0.14777088468960564","0.016254797315856623","198.85981963287605","0.9999999999999994","96","0.005","14364","True","0.0035986327704583183","5.30047038324304","0.0","419346.3506737313","1172038.6723088538","0.3577922474585598","-0.29042795107348734","-0.2692213964889857","0.12919672586804687","0.08917195430250288","1.0011470914757037","0.08745889621871684","D:\graverthermal-sidm\data\P5_born_direct_time_scan_n96\M1_tidx10"
"M2_scalar_phi_massive","D:\graverthermal-sidm\data\P2_born_convergence_eta0p1_sigma1_n96_teps5\M2_eta0p1_sigma1","14","0.5000444246953972","0.0206393309427266","0.0029258124408245967","0.000174092844475","3.6","0.00709","0.010532924786968548","49.28193024534326","0.04917133995196033","0.00599774299493319","0.1","0.4598205052925115","0.31957525117829544","499.8539183489865","0.9999999999999999","96","0.005","23814","True","0.005997914238911343","5.302010277609466","0.0","419670.1400638303","1171729.0902906957","0.3581631142738923","-0.27357036855837397","-0.25380285410331893","0.12125872540245286","0.07911956723721805","1.0010974617765744","0.07755136832961895","D:\graverthermal-sidm\data\P5_born_direct_time_scan_n96\M2_tidx14"
"M1_dark_photon_massive","D:\graverthermal-sidm\data\P2_born_convergence_eta0p1_sigma1_n96_teps5\M1_eta0p1_sigma1","14","0.5000409714846399","0.0068499154050761","0.0029258124408245967","0.0001740328002982","3.6","0.00709","0.010532924786968548","49.26493303364498","0.04918830487250698","0.005998736139260322","0.1","0.14777088468960564","0.016254797315856623","198.85981963287605","0.9999999999999994","96","0.005","23901","True","0.005998762870139587","5.299633660928335","0.0","419241.01832826564","1171346.7846547302","0.357913662990796","-0.28490906324456855","-0.27423722246354115","0.11145601678795468","0.08762849786275459","1.0016355962371393","0.08414908815773377","D:\graverthermal-sidm\data\P5_born_direct_time_scan_n96\M1_tidx14"
"M2_scalar_phi_massive","D:\graverthermal-sidm\data\P2_born_convergence_eta0p1_sigma1_n96_teps5\M2_eta0p1_sigma1","6","0.1000773878892793","0.0330368485947409","0.002720200478156222","0.0001666072814985","3.6","0.00709","0.0097927217213624","58.68640081911632","0.044412768606562715","0.0010999940631669276","0.1","0.4598205052925115","0.31957525117829544","499.8539183489865","0.9999999999999999","96","0.005","4795","True","0.0011000053864657848","5.376703922427359","0.0","427568.15039400896","1163261.1651729504","0.3675598938527612","0.1535559759356678","0.1222928759051886","-0.09586755966793936","0.024146136493847774","1.0002833377855704","0.024041434297636412","D:\graverthermal-sidm\data\P5_born_direct_time_scan_n96\M2_tidx6"
"M1_dark_photon_massive","D:\graverthermal-sidm\data\P2_born_convergence_eta0p1_sigma1_n96_teps5\M1_eta0p1_sigma1","6","0.1000080811724736","0.0371154499893382","0.002720200478156222","0.0001665962195229","3.6","0.00709","0.0097927217213624","58.68250430554215","0.04441571761083221","0.0010992687767842173","0.1","0.14777088468960564","0.016254797315856623","198.85981963287605","0.9999999999999994","96","0.005","4795","True","0.0010992760266462683","5.376244709490821","0.0","427487.9610220047","1163191.5709476094","0.36751294601777934","0.1514219834364914","0.11847433438117705","-0.09765202698437497","0.023572086281220046","1.0003840513385671","0.023379760219887254","D:\graverthermal-sidm\data\P5_born_direct_time_scan_n96\M1_tidx6"
