model,n_matches,n_viable,best_sigma_m_cm2_g,best_t_evo_gyr,best_r_s_kpc,best_rho0_msun_pc3,best_r2D_rs,rdiss_ratio,rdiss_correction_factor,symmetry_breaking_pct,sigma_m_corrected_cm2_g
elastic,7278,7278,0.05151734550438876,0.0,0.300777389391082,82.36070915397815,0.06649435996665046,1.0,1.0,0.0,0.05151734550438876
const_rdiss_1p05,8177,8177,0.14908726658606034,0.06527528560473098,0.5387778619180345,15.887971256874046,0.03712105009066361,1.0,1.0,0.0,0.14908726658606034
M1_dark_photon_massive,1539,1539,0.16535938292696575,0.014476497328761903,0.7755996253107423,9.950669610781937,0.025786500337705864,1.0439832610370186,0.012770433142252556,-98.72295668577475,0.002111710944112955
M2_scalar_phi_massive,1154,1154,0.07316164978561146,0.0040257363273461825,0.40255707516998773,43.33190537241678,0.049682395947343874,1.0146662563964737,,,
M1_highconc,2082,2082,0.3111087044687981,0.0962932344442399,0.8342249224113039,7.079979907435049,0.02397434967801077,1.0429819477455,0.013054419622587776,-98.69455803774122,0.004061343576375339
