resolution_label,source_n_shells,source_snapshot_idx,source_snapshot_time_gyr,direct_n_shells,direct_mass_chi2,direct_mass_ratio,mass_ratio_pull,inner_pull,outer_pull,vmax_kms,max_cooling,t_evo_phys_gyr
source_n48_direct_n48,48,14,0.500058204991382,48,0.0145281964166975,0.3655163175686695,0.0606661448405886,0.1090386962053543,0.0513688538565348,5.38282977191857,0.0,0.0060142645146445
source_n48_direct_n192,48,14,0.500058204991382,192,0.0467654932112646,0.3628411854440651,-0.0609307699141571,-0.1670403248763649,-0.1373427212358309,5.298259447331933,0.0,0.0060142645146445
source_n96_direct_n192,96,10,0.5000049439852337,192,0.1403889297193778,0.3723635691448367,0.3719048528481922,0.320745553953113,-0.1936781333519313,5.389044079984837,0.0,0.0054954664523883
source_n192_direct_n192,192,10,0.5000929571934571,192,0.1468394200957039,0.3723707397568456,0.3722307897576872,0.3545562768796725,-0.1453590954186526,5.393468337182726,0.0,0.0054919605431547
