model,sigma_low_dwarf,rdiss_eff_b1938,rdiss_eff_cluster
M1_dark_photon_massive,1.7100568853709434e-09,1.0009535547860633,1.01866681748749
M1_dark_photon_massive,3.452324354268456e-09,1.0009612827315544,1.0186668174874898
M1_dark_photon_massive,6.9493372348498544e-09,1.000961790727653,1.0186668174874902
M1_dark_photon_massive,1.3987524358155244e-08,1.000960090303822,1.0186668174874898
M1_dark_photon_massive,2.8153884472439672e-08,1.000960090303823,1.01866681748749
M1_dark_photon_massive,5.665855807512407e-08,1.0009600903038223,1.0186668174874898
M1_dark_photon_massive,1.1404151711035373e-07,1.000960090303824,1.0186668174874902
M1_dark_photon_massive,2.2954134680941663e-07,1.0009600900748343,1.0186668174874898
M1_dark_photon_massive,4.6201746601089244e-07,1.0009600900116662,1.0186668174874896
M1_dark_photon_massive,9.299419989739708e-07,1.0009600900116662,1.01866681748749
M1_dark_photon_massive,1.871773652141444e-06,1.0009600900116662,1.0159066466947497
M1_dark_photon_massive,3.767478633931529e-06,1.0009600900585307,1.0159066466947473
M1_dark_photon_massive,7.583125898204483e-06,1.0009600900585303,1.0162194855915845
M1_dark_photon_massive,1.5263204911134917e-05,1.00096009005853,1.0163338149241072
M1_dark_photon_massive,3.0721555633733386e-05,1.0009600900119242,1.0163299104345997
M1_dark_photon_massive,6.183589790293884e-05,1.0009600900119242,1.0164727763358181
M1_dark_photon_massive,0.00012446239100158524,1.000960090011924,1.0164730848085608
M1_dark_photon_massive,0.0002505160804515542,1.0009600900119242,1.0164730848085604
M1_dark_photon_massive,0.0005042351031481351,1.0009600900119242,1.0164730827280608
M1_dark_photon_massive,0.0010149170416067536,1.0009600900119242,1.0164730827280608
M1_dark_photon_massive,0.0020428101790469573,1.000960090011924,1.0164730827280606
M1_dark_photon_massive,0.00411173845402311,1.0009600900119242,1.016473082728061
M1_dark_photon_massive,0.008276047029577547,1.000960090011924,1.0164730827280606
M1_dark_photon_massive,0.01665790643098001,1.0009600900119242,1.0164730827280608
M1_dark_photon_massive,0.03352879045655323,1.000960090011924,1.0164730827558341
M1_dark_photon_massive,0.06748625910088744,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,0.13583535538908606,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,0.27340741685053205,1.0009600900119242,1.0164730827286477
M1_dark_photon_massive,0.5503104502856587,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,1.1076568265123696,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,2.2294754618644483,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,4.487455605457049,1.000960090011924,1.0164730827286474
M1_dark_photon_massive,9.03228501743978,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,18.1800511936113,1.000960090011924,1.0164730827286474
M1_dark_photon_massive,36.59254117470404,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,73.65293174163098,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,148.24754389802862,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,298.3904883636238,1.000960090011924,1.0164730827286474
M1_dark_photon_massive,600.5960112710256,1.000960090011924,1.0164730827286474
M1_dark_photon_massive,1208.8708682801257,1.000960090011924,1.0164730827286474
M1_dark_photon_massive,2433.197604965253,1.000960090011924,1.0164730827286472
M1_dark_photon_massive,4897.504555827157,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,9857.625548127351,1.000960090011924,1.0164730827286472
M1_dark_photon_massive,19841.284543875463,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,39936.24736798994,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,80383.09466861578,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,161793.91741455096,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,325656.4308734807,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,655476.5016136288,1.000960090011924,1.0164730827286472
M1_dark_photon_massive,1319333.5166611958,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,2655535.2082043267,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,5345022.432128285,1.0009600900119242,1.0164730827286477
M1_dark_photon_massive,10758382.984977683,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,21654315.939955913,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,43585490.44797763,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,87728237.77293621,1.000960090011924,1.0164730827286472
M1_dark_photon_massive,176578114.03845283,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,355413845.6317589,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,715371790.8621951,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,1439889878.9430022,1.000960090011924,1.0164730827286474
M1_dark_photon_massive,2898189291.170825,1.0009600900119244,1.0164730827286474
M1_dark_photon_massive,5833433021.713511,1.000960090011924,1.0164730827286472
M1_dark_photon_massive,11741448677.105127,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,23633016188.56969,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,47568189371.578094,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,95744555922.77332,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,192713241978.60394,1.0009600900119242,1.0164730827286477
M1_dark_photon_massive,387890395187.1659,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,780740114865.3776,1.000960090011924,1.0164730827286477
M1_dark_photon_massive,1571462285540.4407,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,3163016307035.505,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,6366472966375.967,1.0009600900119242,1.0164730827286477
M1_dark_photon_massive,12814343682465.477,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,25792523565181.652,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,51914814238262.36,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,104493378888741.05,1.000960090011924,1.016473082728647
M1_dark_photon_massive,210322744900405.5,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,423334545144151.75,1.0009600900119242,1.0164730827286472
M1_dark_photon_massive,852081581558237.5,1.0009600900119242,1.0164730827286474
M1_dark_photon_massive,1715057346391500.8,1.0009600900119242,1.0164730827286477
M2_scalar_phi_massive,9.359217153568016e-10,1.00000000000007,1.0070312518162785
M2_scalar_phi_massive,1.883809541610559e-09,1.00000000000007,1.0070312518162787
M2_scalar_phi_massive,3.791704296240311e-09,1.0000000000000695,1.0070312518162785
M2_scalar_phi_massive,7.629082580509611e-09,1.0000000000000702,1.0070312518162785
M2_scalar_phi_massive,1.5354392503205137e-08,1.0000000000000697,1.0070312518162785
M2_scalar_phi_massive,3.090488157898456e-08,1.00000000000007,1.0070312518162785
M2_scalar_phi_massive,6.220511156953141e-08,1.00000000000007,1.0070312518162785
M2_scalar_phi_massive,1.2520553887026712e-07,1.0000000000000695,1.0070312518162783
M2_scalar_phi_massive,2.52011836822925e-07,1.0000000000000697,1.0070312518162785
M2_scalar_phi_massive,5.072457396982645e-07,1.00000000000007,1.0070312518162787
M2_scalar_phi_massive,1.0209768068268513e-06,1.0000000000000697,1.0067656143483001
M2_scalar_phi_massive,2.055007185863054e-06,1.0000000000000697,1.0067634506728487
M2_scalar_phi_massive,4.1362884109716906e-06,1.0000000000000697,1.006763450672849
M2_scalar_phi_massive,8.325460824422567e-06,1.0000000000000697,1.0067634506728493
M2_scalar_phi_massive,1.6757365794609354e-05,1.0000000000000697,1.0065706658674825
M2_scalar_phi_massive,3.3728980809157686e-05,1.0000000000000697,1.006850636685634
M2_scalar_phi_massive,6.788919931499582e-05,1.0000000000000695,1.0068506366856342
M2_scalar_phi_massive,0.0001366463875593852,1.0000000000000697,1.006850636685635
M2_scalar_phi_massive,0.0002750398505422536,1.0000000000000697,1.006850636685634
M2_scalar_phi_massive,0.0005535961889474018,1.0000000000000697,1.0068504810215184
M2_scalar_phi_massive,0.0011142703132395898,1.0000000000000697,1.006850476589232
M2_scalar_phi_massive,0.002242786991232376,1.0000000000000695,1.006850476589232
M2_scalar_phi_massive,0.004514248857099009,1.0000000000000697,1.0068504803031282
M2_scalar_phi_massive,0.009086214082516184,1.0000000000000697,1.0068502794123741
M2_scalar_phi_massive,0.01828859882713035,1.0000000000000697,1.006850275710354
M2_scalar_phi_massive,0.03681102426403438,1.00000000000007,1.0068501693691514
M2_scalar_phi_massive,0.07409269130870563,1.0000000000000697,1.0068501693691512
M2_scalar_phi_massive,0.14913268552352688,1.0000000000000697,1.0068501668336727
M2_scalar_phi_massive,0.3001720884829825,1.0000000000000697,1.0068501668336731
M2_scalar_phi_massive,0.6041819899368814,1.0000000000000697,1.0068501668336947
M2_scalar_phi_massive,1.216088673696869,1.0000000000000697,1.006850154675404
M2_scalar_phi_massive,2.447725498153806,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,4.9267460867789845,1.0000000000000695,1.0068501546754043
M2_scalar_phi_massive,9.916482473994657,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,19.95975090352866,1.0000000000000697,1.0068501546754043
M2_scalar_phi_massive,40.17469472423007,1.0000000000000697,1.0068501546754045
