run_label,run_root,model,n_shells,t_epsilon,target_time_gyr,final_time_gyr,rho_r0p1rs_initial_code,rho_r0p1rs_final_code,rho_r0p1rs_fractional_change,u_r0p1rs_fractional_change,v_max_final_kms,v_threshold_kms,max_cooling_seen_code,best_mass_chi2,best_mass_fit_time_gyr,best_mass_ratio
baseline_n48,data\P2_born_long_eta0p1_sigma1,M1_dark_photon_massive,48,0.01,0.5,0.5003717941103961,9.290489343448709,2.671239033195499,-0.7124759596135641,0.5050672683331165,21.58981122667936,198.85981963287605,1.8759433474412835e-36,8.914121838623987e-05,0.4500927552596403,0.3639765909518395
baseline_n48,data\P2_born_long_eta0p1_sigma1,M2_scalar_phi_massive,48,0.01,0.5,0.5001268850867431,9.290489343448709,2.862281608369407,-0.6919127182049052,0.476939226985742,21.682132112658092,499.8539183489865,0.0,0.0027709586329863,0.5001268850867431,0.3630392305396107
n96_teps1_short,data\P2_born_convergence_eta0p1_sigma1_n96,M1_dark_photon_massive,96,0.01,0.02,0.0200094092154999,8.709087483147023,7.378118911042388,-0.15282526150761444,0.038170372151725696,21.719666401377943,198.85981963287605,1.0501339982647978e-36,0.0225856949796672,0.0,0.367455723826124
n96_teps1_short,data\P2_born_convergence_eta0p1_sigma1_n96,M2_scalar_phi_massive,96,0.01,0.02,0.0200163616749264,8.709087483147023,7.595220798661394,-0.12789706001243817,0.026468763126842987,21.724865671689063,499.8539183489865,0.0,0.0225856949796672,0.0,0.367455723826124
n48_teps5_short,data\P2_born_convergence_eta0p1_sigma1_n48_teps5,M1_dark_photon_massive,48,0.005,0.02,0.0200383178034846,9.290489343448709,7.68599754443784,-0.172702614436805,0.04521317095590205,21.994908567725243,198.85981963287605,1.219098075149435e-36,0.0440254098429148,0.0200383178034846,0.3596412124581117
n48_teps5_short,data\P2_born_convergence_eta0p1_sigma1_n48_teps5,M2_scalar_phi_massive,48,0.005,0.02,0.020000076495581,9.290489343448709,7.909665910476099,-0.14862763218670627,0.03424982234525609,21.997528768000677,499.8539183489865,0.0,0.045161749807679,0.020000076495581,0.3595832177330365
n96_teps5_long,data\P2_born_convergence_eta0p1_sigma1_n96_teps5,M1_dark_photon_massive,96,0.005,0.5,0.5000409714846399,8.709087483147023,2.6442499203223693,-0.6963803698792481,0.4788957622244685,21.298204824268996,198.85981963287605,1.6635170764044013e-36,0.0068499154050761,0.5000409714846399,0.3623864578863824
n96_teps5_long,data\P2_born_convergence_eta0p1_sigma1_n96_teps5,M2_scalar_phi_massive,96,0.005,0.5,0.5000444246953972,8.709087483147023,2.8265393273034736,-0.6754494276497834,0.4515578176403965,21.389017454933384,499.8539183489865,0.0,0.0206393309427266,0.5000444246953972,0.3610690339117383
activation_vstar20,data\P2_born_activation_vstar20,M1_dark_photon_massive,48,0.01,0.005,0.0050413457813622,9.290489343448709,8.849891610387163,-0.04742459915442865,0.010086844095405612,21.99023176050148,20.0,3.0494370453002904e-29,0.0470987001531793,0.0050413457813622,0.3594860326402657
activation_vstar20,data\P2_born_activation_vstar20,M2_scalar_phi_massive,48,0.01,0.005,0.0050413457813622,9.290489343448709,8.849891610387163,-0.04742459915442865,0.010086844095405612,21.99023176050148,20.0,2.2216020416671158e-29,0.0470987001531793,0.0050413457813622,0.3594860326402657
activation_vstar20_elastic,data\P2_born_activation_vstar20_elastic,M1_dark_photon_massive,48,0.01,0.005,0.0050413457813622,9.290489343448709,8.849891610387163,-0.04742459915442865,0.010086844095405612,21.99023176050148,20.0,0.0,0.0470987001531793,0.0050413457813622,0.3594860326402657
activation_vstar20_elastic,data\P2_born_activation_vstar20_elastic,M2_scalar_phi_massive,48,0.01,0.005,0.0050413457813622,9.290489343448709,8.849891610387163,-0.04742459915442865,0.010086844095405612,21.99023176050148,20.0,0.0,0.0470987001531793,0.0050413457813622,0.3594860326402657
