snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,32.45601011691302,0.048976924306993526,12.733893680442758,21.99341015694238,9.290489343448707,0.08810537987752666,3.950468715693014,0.11519179252524436,1.0348186426552712,0.14160762994458947
1,0.005007330492649223,27.73803862215239,0.05228106512761231,13.156418468264299,21.993842200561787,9.34979981849583,0.08728921231620165,3.958238754227824,0.1149805605863556,1.0351201982533917,0.14159841213154625
2,0.010017341268394962,24.175592218102548,0.05601328502648061,13.617926537929124,21.99419489449364,9.41471401649029,0.08640514474311962,3.966507808509928,0.11474806863862987,1.0354276049010067,0.14158683496087252
3,0.015036647236016852,21.616014657279017,0.05942136779452583,14.02609536691329,21.994493299988353,9.467081673171695,0.08562273116575461,3.9753404711776046,0.11449503369122646,1.0357402253356396,0.14157354121741042
4,0.020049299428393796,19.746965613348294,0.062337178410790964,14.366104977227485,21.99475196770908,9.492095048842167,0.08507041543111148,3.9847638702173493,0.11422241319435074,1.0360564309021385,0.14155898532451267
5,0.050040393806251623,14.284421866723443,0.07354801195081274,15.6045386859308,21.995791321173154,9.188449079366375,0.08549745792052382,4.050464935994341,0.11231001298229185,1.0380219168740832,0.14145318587656378
6,0.10005314784528482,10.990284196004394,0.08315871310949377,16.592787267036776,21.99840216120763,8.316317189698056,0.08965418161086322,4.129927454612774,0.1098783436479723,1.0415892418790302,0.14122121213677244
7,0.1500826533653774,9.40858309626745,0.08896096570396186,17.161893776724014,22.000728402337543,7.630511473785335,0.09335347276165169,4.141187057694096,0.10906533892277548,1.0456036817907872,0.14092006805461693
8,0.20000862603808928,8.428409520373965,0.0930807052227129,17.55477622430974,22.002541568386462,7.112919661488994,0.0963515798145339,4.1131297753063105,0.10911415245160141,1.050136224778462,0.14054607602009572
9,0.2500060750335138,7.740428845050627,0.09626217908352667,17.852264367514103,22.003907369029946,6.693766801168472,0.09887380430665167,4.0670010164340376,0.10954798912042965,1.0551827720914932,0.14010482553568374
10,0.3000552099735792,7.222291088714039,0.09883954223029963,18.08967764616668,22.00484451235035,6.356649887086578,0.10099785352015775,4.0134084284627525,0.11014986901447343,1.0606274977638164,0.13961436553934226
11,0.35012220011704176,6.813536420618736,0.10099536294908579,18.285893345554005,22.005350372987404,6.077884819981652,0.10282284158059186,3.957566742450191,0.1108182696072285,1.0663100570342934,0.1390970153201553
12,0.4000388842570835,6.481088114581239,0.10283578315718811,18.451751417802512,22.005409638786983,5.842937540724229,0.10441204330647301,3.9022110650498147,0.11150190257496727,1.0720576305817875,0.1385747019415825
13,0.4500736286959211,6.202311367295394,0.10444387152534813,18.59546086115711,22.004998897225303,5.640308921495105,0.10582211273398809,3.8479948798993706,0.11218188776446274,1.0777741049023568,0.1380603111517736
14,0.500058204991382,5.964765821123767,0.10586379000768338,18.721437149088903,22.004090334259953,5.463659078640619,0.10708259947846976,3.7911752242319396,0.11286891616101652,1.0833451151484839,0.13756652692961396
