snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,44.14626630350791,0.03966157844079252,11.45909875772933,21.659983378248864,8.470923946259113,0.08781094089353053,3.57142523597559,0.11390426030416465,0.9203992771263687,0.1383460250481442
1,0.0500025587007344,11.691807257472284,0.07833699961757168,16.104562532569222,21.66462938742654,8.01087925011345,0.0872651221603609,3.748794460555423,0.1091280701923861,0.9250915864065808,0.13810589479124374
2,0.10000329703485225,8.840213849558763,0.0885015754868845,17.117524819122316,21.66663830926881,6.966016834232249,0.09323094963406174,3.8035748012430646,0.10740987505287078,0.9308366017495421,0.13768877816571473
3,0.15000375842342514,7.542425154478267,0.09426739308592992,17.66632492129635,21.666736368922347,6.281040993182084,0.09753527448782268,3.7588922705325998,0.1078155990110094,0.9380368055407389,0.13707250362289328
4,0.20003059511182536,6.752632115668592,0.09826014596475907,18.036578974158722,21.664998549814364,5.798275599532126,0.10077049025047925,3.6843975215109,0.10878703805180563,0.9466221473953014,0.13628634142429757
5,0.25002091777705676,6.206951413177328,0.10127356695965607,18.311061383967616,21.66311699221088,5.43616608864917,0.10332217695838818,3.6036032196234906,0.10987614900873655,0.9559246373324635,0.13542988093959202
6,0.3000015042940931,5.776550834700306,0.10411738362221876,18.566373730671458,21.659476906426196,5.151762686973873,0.10541037232054197,3.5258235237375506,0.1109408049168879,0.9652820051486347,0.13459008527230876
7,0.350040985337895,5.455663375180167,0.10616842458450916,18.74835428517086,21.65442909302785,4.9194770892890896,0.1071704861875768,3.451923609112835,0.11194479261175427,0.9742727492965497,0.1338139457994262
8,0.40000597511248226,5.198034058306471,0.10785724948174813,18.896881327784243,21.649204346375747,4.725994755594445,0.10868033076047519,3.38421231657311,0.11287040481276246,0.9826412286522599,0.1331242441046983
9,0.4500207898464541,4.983317781774879,0.10931679083926167,19.024309475273828,21.642015538932533,4.560863230415224,0.10999936255078197,3.321217337205959,0.11372804945959192,0.9903152034355268,0.13252277179280686
10,0.5000474472228108,4.801914801253494,0.11057206279471285,19.1332246657147,21.635385149019804,4.418264756115812,0.11116470753174282,3.2632339220713753,0.11451899684868524,0.9972743373128876,0.13200523203148729
