snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,32.45601011691302,0.048976924306993526,12.733893680442758,21.99341015694238,9.290489343448707,0.08810537987752666,3.950468715693014,0.11519179252524436,1.0348186426552712,0.14160762994458947
1,0.005006728050423756,23.38735169430728,0.056002059822913085,13.616561936149084,21.993095306109897,8.971373549075404,0.08839823747463584,3.984548866275344,0.1139204380927416,1.0379195939562276,0.14140333478393835
2,0.010038880711585678,17.61131482151987,0.06372279344025604,14.524890538679827,21.994863229973124,8.629736915909763,0.08903266543191242,4.008334550754984,0.11288527401595685,1.041239415629818,0.14117077497292244
3,0.015011673716174581,14.185903850647668,0.07025855056825311,15.251587766896982,21.996373657375432,8.275699120847861,0.08995920128083244,4.02121118070885,0.11209917037264643,1.044738357987821,0.14091211786575691
4,0.02002731063713604,11.883647793248388,0.07632978427120199,15.896901479399865,21.99762906441264,7.908710251448208,0.09114947404808257,4.024164347888801,0.11152302995930796,1.0484938724858828,0.14062149643803512
5,0.02507631627553714,10.239272341455235,0.08221551335000557,16.498419864385394,21.998597641782847,7.541435538180715,0.09268725940170679,4.017837096706726,0.11114220031656566,1.0524951080663043,0.1403003428609841
6,0.0301049385442098,9.085665203172768,0.08732071247297384,17.002943063352397,21.999237025186066,7.18062192179182,0.09457056793828121,4.002679916126686,0.11095626767289501,1.0566799542038163,0.13995484370064512
7,0.03503606150661951,8.289487055389513,0.09124015322055759,17.38034801160393,21.999528224947895,6.844947684966017,0.09655159837964189,3.9795238087894047,0.11096302954925906,1.0609470011309738,0.1395955182386391
8,0.040027658493097085,7.686593169402203,0.09444651701363321,17.683101452281633,21.999485231648016,6.536673234030856,0.09850389137886655,3.9490440881096855,0.11113861542314243,1.0653908924460023,0.13921701803966838
9,0.0451977881515665,7.20131722444816,0.09718366789396207,17.937508021984502,21.999068039977065,6.258924673081988,0.10036429336076001,3.9121279925787023,0.11145598006597394,1.0700791619375725,0.13881554406229005
10,0.05002776081799621,6.856350073889198,0.09904166603725083,18.10816461532801,21.998320856202167,6.03268983291816,0.10194278549065587,3.874602909120043,0.1118372989604263,1.074492477608024,0.13843754799696373
11,0.10012473011772978,5.002793142899,0.11149407002653482,19.212830439095043,21.967520945650406,4.687507716180319,0.112351866723444,3.4708454943320595,0.11669565357231884,1.1145128524394967,0.13520462835282435
12,0.15005512077633695,4.267660917156951,0.11734019883860342,19.710102153533654,21.929268097676403,4.076536310474637,0.1177142589108207,3.1928653747612,0.1203569765308505,1.1379899779561826,0.1336535418749014
13,0.20003509876141518,3.842030383133457,0.12116479281949738,20.02874269329319,21.892257084583097,3.70980386003581,0.121157948990448,2.9974100003800057,0.12300223365623635,1.14999612912243,0.13307785923792378
14,0.2500754322382064,3.578648139764199,0.1232248766619288,20.198292695127787,21.843783278860585,3.4605457680766256,0.12361165384748131,2.8497118547277647,0.1250143131296256,1.1556621470498865,0.13296152609918807
15,0.3000684937838349,3.3672534374554353,0.12553389377985985,20.386654609930634,21.796197038983767,3.2782686330247293,0.12549361829318698,2.736667305414867,0.12659597347673165,1.1578503538851697,0.13306240753787843
16,0.350082332685466,3.214776461622231,0.1270663120217593,20.5107092258657,21.769537519045052,3.1386475574275003,0.12698371629124927,2.646960142912421,0.12788361905120632,1.1581061464130993,0.1332679390230471
17,0.4002173740235414,3.091303939387239,0.12844622995244673,20.62177984619293,21.74029251046594,3.027400332111171,0.12821689337111872,2.5737680106352614,0.1289611643957982,1.1572792133763594,0.13352314420950162
18,0.45005847261689086,2.9948177874218405,0.12947063579980364,20.703849670051515,21.71081357074842,2.93739495563928,0.1292426221764796,2.51331193701124,0.12987423255993408,1.1556298628667074,0.13379867482921803
19,0.5001268850867431,2.914413893129409,0.130359986610948,20.774836705907365,21.682132112658095,2.862281608369407,0.1301262916495993,2.4620830826659206,0.13066867108682706,1.1529156769526752,0.13408537350084998
