model,eta_B,alpha_D,m_chi_GeV,m_mediator_keV,eta_requested,target_sigma_m_100_kms,threshold_velocity_requested_kms,n_shells,flag_dissipation,t_epsilon,r_epsilon,sigma_m_100_kms,scale_t_gyr,target_time_gyr,current_time_gyr,current_time_dimensionless,steps_this_call,total_conduction_steps,n_snapshots,rho_center_initial_code,rho_center_start_code,rho_center_final_code,rho_center_fractional_change_from_initial,u_center_initial_code,u_center_start_code,u_center_final_code,u_center_fractional_change_from_initial,max_cooling_initial_code,max_cooling_final_code,max_cooling_seen_code,v_threshold_kms,v_max_initial_kms,v_max_final_kms,v_central_start_kms,v_central_final_kms,v_max_to_threshold_final,diagnostic_path,trajectory_path,output_dir
M1_dark_photon_massive,0.1,2.225300112107237e-10,0.008102281604614767,9.015004081536823e-06,0.1,1.0,20.0,48,False,0.01,1e-08,0.9999999999999991,0.0499502865670473,0.5,0.500003655095654,10.01002575679939,3993,3993,11,30.952127723581164,32.45601011691302,2.5506516222356472,-0.9175936580187859,0.047497982030175835,0.048976924306993526,0.13611541748927072,1.8657094822006446,0.0,0.0,0.0,20.0,21.635159004386924,21.50690619934049,12.733893680442758,21.22849104984454,1.0753453099670245,data\P2_born_activation_vstar20_long\M1_eta0p1_sigma1_vstar20_elastic\b1938_snapshot_diagnostics.csv,data\P2_born_activation_vstar20_long\M1_eta0p1_sigma1_vstar20_elastic\fluid_trajectory.csv,data\P2_born_activation_vstar20_long\M1_eta0p1_sigma1_vstar20_elastic
M2_scalar_phi_massive,0.1,2.225300112107237e-10,0.008102281604614767,9.015004081536823e-06,0.1,1.0,20.0,48,False,0.01,1e-08,0.9999999999999991,0.0499502865670473,0.5,0.500003655095654,10.01002575679939,3993,3993,11,30.952127723581164,32.45601011691302,2.5506516222356472,-0.9175936580187859,0.047497982030175835,0.048976924306993526,0.13611541748927072,1.8657094822006446,0.0,0.0,0.0,20.0,21.635159004386924,21.50690619934049,12.733893680442758,21.22849104984454,1.0753453099670245,data\P2_born_activation_vstar20_long\M2_eta0p1_sigma1_vstar20_elastic\b1938_snapshot_diagnostics.csv,data\P2_born_activation_vstar20_long\M2_eta0p1_sigma1_vstar20_elastic\fluid_trajectory.csv,data\P2_born_activation_vstar20_long\M2_eta0p1_sigma1_vstar20_elastic
M1_dark_photon_massive,0.1,2.225300112107237e-10,0.008102281604614767,9.015004081536823e-06,0.1,1.0,20.0,48,True,0.01,1e-08,0.9999999999999991,0.0499502865670473,0.5,0.500003655095654,10.01002575679939,0,3993,11,30.952127723581164,2.5506516222356472,2.5506516222356472,-0.9175936580187859,0.047497982030175835,0.13611541748927072,0.13611541748927072,1.8657094822006446,1.989162951365644e-29,1.989162951365644e-29,1.989162951365644e-29,20.0,21.635159004386924,21.50690619934049,21.22849104984454,21.22849104984454,1.0753453099670245,data\P2_born_activation_vstar20_long\M1_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,data\P2_born_activation_vstar20_long\M1_eta0p1_sigma1_vstar20\fluid_trajectory.csv,data\P2_born_activation_vstar20_long\M1_eta0p1_sigma1_vstar20
M2_scalar_phi_massive,0.1,2.225300112107237e-10,0.008102281604614767,9.015004081536823e-06,0.1,1.0,20.0,48,True,0.01,1e-08,0.9999999999999991,0.0499502865670473,0.5,0.500003655095654,10.01002575679939,0,3993,11,30.952127723581164,2.5506516222356472,2.5506516222356472,-0.9175936580187859,0.047497982030175835,0.13611541748927072,0.13611541748927072,1.8657094822006446,1.4878549259884696e-29,1.4878549259884696e-29,1.4878549259884696e-29,20.0,21.635159004386924,21.50690619934049,21.22849104984454,21.22849104984454,1.0753453099670245,data\P2_born_activation_vstar20_long\M2_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,data\P2_born_activation_vstar20_long\M2_eta0p1_sigma1_vstar20\fluid_trajectory.csv,data\P2_born_activation_vstar20_long\M2_eta0p1_sigma1_vstar20
