scan_point_id,model,eta_B,sigma_m_100_kms,vstar_kms,n_time_rows,max_direct_t_evo_phys_gyr,vmax_phys_kms_max_over_scan,threshold_ratio_vmax_over_vstar,max_cooling_code_over_scan,cooling_min_shell_index_initial_state,cooling_min_shell_radius_pc_initial_state,cooling_min_shell_density_msun_pc3_initial_state,min_cooling_time_code_initial_state,min_cooling_time_gyr_initial_state,local_dynamical_time_code_initial_state,local_dynamical_time_gyr_initial_state,cooling_to_dynamical_time_initial_state,cosmic_age_at_lens_gyr,cooling_to_cosmic_age_initial_state,max_fractional_cooling_rate_per_gyr_initial_state,born_eta,m_chi_GeV,m_mediator_keV,activity_class,status
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.1,0.1,100.0,7,0.0011282477465469,5.3444179006821,0.053444179006821003,0.0,-1,,,inf,inf,,,inf,6.37,inf,0.0,0.1,0.13464033288161192,0.0037451893481950833,threshold_unreachable_and_cooling_slow,complete
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.1,0.09999999999999999,20.0,7,0.0011291928074371,5.343777930616317,0.26718889653081584,3.415399997302264e-31,48,1.4276252592423484,307.9085796042532,3.66741591856122e+29,2.063527362196691e+26,0.42599072198902765,0.00023969016069798368,8.609145057050521e+29,6.37,3.2394464084720424e+25,4.846070947833073e-27,0.1,0.017455836557389245,1.9422237524041944e-05,threshold_unreachable_and_cooling_slow,complete
M1_eta0p1_sigma0p1_vstar500,M1_dark_photon_massive,0.1,0.09999999999999996,500.0,7,0.0011278837937541,5.348566010531706,0.010697132021063413,0.0,-1,,,inf,inf,,,inf,6.37,inf,0.0,0.1,0.9910052615313223,0.6891512873701604,threshold_unreachable_and_cooling_slow,complete
M2_eta0p1_sigma0p1_vstar100,M2_scalar_phi_massive,0.1,0.1,100.0,7,0.0011282477465469,5.3444179006821,0.053444179006821003,0.0,-1,,,inf,inf,,,inf,6.37,inf,0.0,0.1,0.13464033288161192,0.0037451893481950833,threshold_unreachable_and_cooling_slow,complete
M2_eta0p1_sigma0p1_vstar20,M2_scalar_phi_massive,0.1,0.09999999999999999,20.0,7,0.0011291928074371,5.343777930616317,0.26718889653081584,2.6697205789137296e-31,48,1.4276252592423484,307.9085796042532,4.396260464573667e+29,2.4736228345625707e+26,0.42599072198902765,0.00023969016069798368,1.0320085010412275e+30,6.37,3.883238358810943e+25,4.042653496028377e-27,0.1,0.017455836557389245,1.9422237524041944e-05,threshold_unreachable_and_cooling_slow,complete
M2_eta0p1_sigma0p1_vstar500,M2_scalar_phi_massive,0.1,0.09999999999999996,500.0,7,0.0011278837937541,5.348566010531706,0.010697132021063413,0.0,-1,,,inf,inf,,,inf,6.37,inf,0.0,0.1,0.9910052615313223,0.6891512873701604,threshold_unreachable_and_cooling_slow,complete
