scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,10,0.1000098142805806,D:\graverthermal-sidm\data\P6_deep_threshold_elastic_n192_t01_refined\M1_eta0p1_sigma0p1_vstar1\t0p1_n192,5.4665654844857226e-05,0.3640444714660192,-0.006235950734423906,-0.007385187401561,0.0003530749051998823,0.0011297781811454547,5.3418060430591545,0.0,4739,False
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,10,0.1000057132235286,D:\graverthermal-sidm\data\P6_deep_threshold_elastic_n192_t01_refined\M1_eta0p1_sigma10_vstar1\t0p1_n192,0.061956896380980966,0.3587993660188813,-0.24464983469523802,-0.20811254109948363,0.13655060094374064,0.0011814539206793273,5.30319003855929,0.0,4749,False
M1_eta0p1_sigma1_vstar1,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma1_vstar1\M1_eta0p1_sigma1_vstar1,complete,10,0.1000020610198656,D:\graverthermal-sidm\data\P6_deep_threshold_elastic_n192_t01_refined\M1_eta0p1_sigma1_vstar1\t0p1_n192,0.007208518755721292,0.36237161542639124,-0.08227486162660427,-0.07796550183652878,0.03361397446151703,0.001145061097168588,5.328844477385728,0.0,4748,False
M2_eta0p1_sigma0p1_vstar1,M2_scalar_phi_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar1\M2_eta0p1_sigma0p1_vstar1,complete,10,0.1000098142805806,D:\graverthermal-sidm\data\P6_deep_threshold_elastic_n192_t01_refined\M2_eta0p1_sigma0p1_vstar1\t0p1_n192,5.4665654844857226e-05,0.3640444714660192,-0.006235950734423906,-0.007385187401561,0.0003530749051998823,0.0011297781811454547,5.3418060430591545,0.0,4739,False
M2_eta0p1_sigma10_vstar1,M2_scalar_phi_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma10_vstar1\M2_eta0p1_sigma10_vstar1,complete,10,0.1000057132235286,D:\graverthermal-sidm\data\P6_deep_threshold_elastic_n192_t01_refined\M2_eta0p1_sigma10_vstar1\t0p1_n192,0.061956896380980966,0.3587993660188813,-0.24464983469523802,-0.20811254109948363,0.13655060094374064,0.0011814539206793273,5.30319003855929,0.0,4749,False
M2_eta0p1_sigma1_vstar1,M2_scalar_phi_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M2_eta0p1_sigma1_vstar1\M2_eta0p1_sigma1_vstar1,complete,10,0.1000020610198656,D:\graverthermal-sidm\data\P6_deep_threshold_elastic_n192_t01_refined\M2_eta0p1_sigma1_vstar1\t0p1_n192,0.007208518755721292,0.36237161542639124,-0.08227486162660427,-0.07796550183652878,0.03361397446151703,0.001145061097168588,5.328844477385728,0.0,4748,False
