snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,44.14626630350791,0.03966157844079252,11.45909875772933,21.659983378248864,8.470923946259113,0.08781094089353053,3.57142523597559,0.11390426030416465,0.9203992771263687,0.1383460250481442
1,0.010000617624163453,23.080574947099343,0.05533860993768453,13.535664715025657,21.66132582065673,8.675140349598358,0.08521275908155952,3.600801774981317,0.1131314595371378,0.9212561284426924,0.13831629284806127
2,0.020005046337607527,17.151106330972087,0.0649291973635592,14.661738939449576,21.66230966071275,8.688340093458113,0.08422310303285568,3.6366378208971555,0.11215938777834686,0.9221589538086025,0.13827494620402844
3,0.03000220630305656,14.463678641390445,0.07074238455164837,15.304012530297358,21.663145067936878,8.513214497216143,0.08476942129555463,3.6770190920010757,0.11105556201206672,0.9230994713936009,0.1382253803932608
4,0.0400089083705483,12.819690990454662,0.07502663324292863,15.760616239525156,21.663948531162728,8.266851963757121,0.08593545533439384,3.71606566408049,0.11000196999941271,0.9240775056142795,0.1381688318118417
5,0.0500025587007344,11.691807257472284,0.07833699961757168,16.104562532569222,21.66462938742654,8.01087925011345,0.0872651221603609,3.748794460555423,0.1091280701923861,0.9250915864065808,0.13810589479124374
6,0.060022181204169224,10.851259217593173,0.08103697794218574,16.37974301099849,21.665206942327377,7.764592372401053,0.08860216722738944,3.7735585881883624,0.10846287350333242,0.9261479449305295,0.1380363721436992
7,0.07000443948930697,10.195870029510615,0.08330010967212866,16.60688781366252,21.66568865127797,7.538524339659078,0.08987134221163796,3.7904563478831546,0.10799179599399202,0.9272431769315747,0.13796051659933342
8,0.08003321334037403,9.661609032411441,0.08525929442569756,16.801046444397485,21.666085968112466,7.329583411519384,0.09107262399890928,3.8005608167702847,0.1076779272526808,0.9283908547131159,0.13787729951058963
9,0.09000049279521662,9.191673903082926,0.08722634350587065,16.99375289598161,21.666399991118578,7.14058674949047,0.09218538288049118,3.804316857995578,0.107495341811671,0.929583309631102,0.1377871550982947
10,0.10000329703485225,8.840213849558763,0.0885015754868845,17.117524819122316,21.66663830926881,6.966016834232249,0.09323094963406174,3.8035748012430646,0.10740987505287078,0.9308366017495421,0.13768877816571473
