snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,39.682294742972616,0.04239157818959506,11.84691460043992,21.723102634843123,8.709087483147023,0.08751589579305356,3.6831031732607964,0.11383033165083241,0.9550381857414381,0.13883079608098425
1,0.050033156441824,6.8729603464131666,0.09648694628252164,17.873094271434333,21.71609804351874,5.883757986046831,0.09973561992371713,3.69099958432885,0.10990498405333178,0.9903429976016401,0.1360122879330448
2,0.10003279445704381,5.001383744625177,0.10864387885922296,18.965665935303367,21.6864883989779,4.593825093667887,0.10980600466795945,3.3473700412735514,0.11425430081429104,1.030096102023921,0.1328011031466429
3,0.15005367210391818,4.252193871874914,0.11463844882734195,19.481868865406305,21.646955587226394,4.000413211231439,0.11503693360388048,3.0910834182505447,0.11773108386349178,1.0557663692679446,0.13110463429945485
4,0.20003801199213395,3.8340762046635164,0.118182470002833,19.780715490808763,21.604498181140105,3.645863734420083,0.11837998405564161,2.910240881964803,0.12025370828483106,1.0700084069044915,0.13040399956886234
5,0.2500203166680702,3.5565079166610496,0.12070345913327145,19.990576714944158,21.557742499325023,3.4052144066102885,0.12076182649169083,2.7737315739961774,0.1221736963880416,1.0777258949064779,0.1301888605093519
6,0.30022317355233274,3.363292105559142,0.12235150645305344,20.126586574315418,21.520770953994166,3.2284648781420366,0.12258025904117374,2.668312291324486,0.12369303543892164,1.0817398567420697,0.13021118866985565
7,0.35003189048304423,3.207611318516964,0.12402263403432323,20.263569050040786,21.481973929252998,3.0937424760599335,0.12401308069549112,2.5851325328254937,0.12492077412769798,1.0835740293784084,0.1303512984104521
8,0.4000767961830202,3.0882775306120034,0.12524643985135395,20.3633000305946,21.446537824235516,2.9862898443291774,0.1251942974056675,2.516146892520409,0.12595243420355612,1.084146558839235,0.13055095651529455
9,0.45012510289272506,2.9909705937459177,0.12630566262658915,20.449226064107467,21.417229631639984,2.8988791657447113,0.1261866168772035,2.458573193081096,0.12683130943560958,1.083965562703437,0.1307787328566725
10,0.5000341163747796,2.911107508954493,0.12719733916552617,20.52128152922784,21.38905093245115,2.8265742680391654,0.1270332070474482,2.410186661997557,0.1275898490046212,1.083349259635013,0.13101703902286663
