point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,1.0,0.9999999999999991,20.0,20.0,0.008102281604614767,9.015004081536823e-06,2.225300112107237e-10,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,0.5000162297568326,21.214683491317345,1.0607341745658672,2.97798987492997e-29,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002354072340972,0.4500984600283625,0.3645150713978708,1.8988078244652635
M1_eta0p1_sigma1_vstar500,M1_dark_photon_massive,0.1,0.09999999999999999,True,True,1.0,0.9999999999999989,500.0,500.0,0.4599838955975297,0.31987569201272076,1.3908125700670229e-07,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500\M1_eta0p1_sigma1_vstar500,0.5000341163747796,21.38905093245115,0.042778101864902295,0.0,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500\M1_eta0p1_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.0206458861723549,0.5000341163747796,0.3610685409704353,1.8988078244652635
M1_eta0p3_sigma0p1_vstar20,M1_dark_photon_massive,0.3,0.29999999999999993,True,False,0.1,0.09999999999999991,20.0,20.0,0.036309603240863415,4.039988208123133e-05,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20\M1_eta0p3_sigma0p1_vstar20,0.5000072804240082,21.66291227403544,1.0831456137017719,9.314054600015141e-30,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20\M1_eta0p3_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041275015356,0.0500525414250469,0.3675783543714718,2.0423331295497618
M1_eta0p3_sigma0p1_vstar500,M1_dark_photon_massive,0.3,0.3,True,False,0.1,0.10000000000000002,500.0,500.0,2.0613740130706244,1.4334924444940642,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500\M1_eta0p3_sigma0p1_vstar500,0.5000531081624837,21.722432204118952,0.0434448644082379,0.0,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500\M1_eta0p3_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267182,0.0500318003656803,0.3675061652701863,2.0423331295497618
M1_eta0p3_sigma10_vstar20,M1_dark_photon_massive,0.3,0.3,True,False,10.0,9.99999999999999,20.0,20.0,0.007822666880341025,8.703890742900225e-06,6.67590033632171e-10,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar20\M1_eta0p3_sigma10_vstar20,0.5000348711617854,22.006916055097786,1.1003458027548894,8.933969624789902e-28,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar20\M1_eta0p3_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M1_eta0p3_sigma10_vstar500,M1_dark_photon_massive,0.3,0.3,True,False,10.0,9.999999999999995,500.0,500.0,0.4441095682889592,0.3088365850316617,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar500\M1_eta0p3_sigma10_vstar500,0.5000088346223986,21.534279862075476,0.043068559724150954,0.0,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar500\M1_eta0p3_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001963010428173,0.4000167651289462,0.3638773707190408,1.7653687843987245
M1_eta0p3_sigma1_vstar20,M1_dark_photon_massive,0.3,0.3,True,False,1.0,0.999999999999999,20.0,20.0,0.0168534248955702,1.875196415475163e-05,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar20\M1_eta0p3_sigma1_vstar20,0.5000162297568326,21.214683491317345,1.0607341745658672,8.933969624789907e-29,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar20\M1_eta0p3_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002354072340972,0.4500984600283625,0.3645150713978708,1.8988078244652635
M1_eta0p3_sigma1_vstar500,M1_dark_photon_massive,0.3,0.3,True,False,1.0,0.9999999999999997,500.0,500.0,0.9568050600968174,0.6653682523431935,4.1724377102010694e-07,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar500\M1_eta0p3_sigma1_vstar500,0.5000093755778492,21.389060557571675,0.04277812111514335,0.0,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar500\M1_eta0p3_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.020647813577732,0.5000093755778492,0.361068396048036,1.8988078244652635
M2_eta0p03_sigma0p1_vstar20,M2_scalar_phi_massive,0.03,0.029999999999999995,True,True,0.1,0.09999999999999987,20.0,20.0,0.007822666880341026,8.703890742900229e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar20\M2_eta0p03_sigma0p1_vstar20,0.5000869332895251,21.66288941607725,1.0831444708038624,6.803305142603523e-31,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar20\M2_eta0p03_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041274749793,0.0500525405886592,0.3675783543696105,2.0423331295497618
M2_eta0p03_sigma0p1_vstar500,M2_scalar_phi_massive,0.03,0.03,True,True,0.1,0.09999999999999996,500.0,500.0,0.4441095682889592,0.3088365850316617,4.172437710201069e-08,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar500\M2_eta0p03_sigma0p1_vstar500,0.500035562379206,21.7224323100124,0.0434448646200248,0.0,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar500\M2_eta0p03_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267175,0.0500318003656804,0.3675061652701858,2.0423331295497618
